Sample_ID,Category,SMS_Text,Language,Label
SD0025,SIM/KYC Scams,NOTICE: Your mobile SIM KYC expired. Submit Aadhaar within 2 hours. Visit: http://sim-kyc-verify.example/submit Sender: VM-TELCOM,English,Phishing
SD0026,SIM/KYC Scams,"Pyare User, Aapka SIM block hone wala hai. KYC verify karne ke liye niche click karein: http://simkyc-demo.example/update",Hinglish,Phishing
SD0027,SIM/KYC Scams,TRAI notice: Re-submit your KYC documents to retain SIM services. Link: https://trai-kyc-verify.example/docs Helpline: +91-9800555566,English,Phishing
SD0028,SIM/KYC Scams,Your Aadhaar-SIM linking is incomplete. Update now to continue services: https://aadhar-sim-link.example/verify Sender: AD-SIMKYC,English,Phishing
SD0029,SIM/KYC Scams,SIM band hone se rokne ke liye abhi OTP daalein aur verify karein: https://simverify-portal.example/otp Sender: VM-JIOKYC,Hinglish,Phishing
SD0030,SIM/KYC Scams,FINAL WARNING: Airtel SIM will be permanently deactivated within 12 hours unless KYC is updated. Act now: http://airtel-sim-kyc.example/update,English,Phishing
SD0031,Credit Card/Loan Scams,Congratulations! You are pre-approved for a personal loan of Rs.5 Lakh. No CIBIL check. Apply: https://quickloan-india.example/apply Helpline: +91-9899001122,English,Phishing
SD0032,Credit Card/Loan Scams,"Dear Customer, Your HDFC credit card limit has been upgraded. Activate now: https://hdfc-card-demo.example/activate Sender: VM-HDFCBANK",English,Phishing
SD0033,Credit Card/Loan Scams,Aapko 0% byaj par Rs.2 lakh ka loan mil sakta hai. Abhi apply karein: http://loan-offer-demo.example/apply Helpline: +91-9822334455,Hinglish,Phishing
SD0034,Credit Card/Loan Scams,ALERT: Your SBI credit card EMI payment failed. Update payment method to avoid late fee: https://sbi-card-demo.example/update Sender: AD-SBICRD,English,Phishing
SD0035,Credit Card/Loan Scams,Instant loan approved! Disburse Rs.1 Lakh in 2 hours. Submit your details: https://instant-loan-portal.example/disburse Support: +91-9988112233,English,Phishing
SD0036,Credit Card/Loan Scams,"Dear Valued Customer, Your Axis Bank credit card has been suspended due to unusual activity. Reactivate: http://axiscard-demo.example/reactivate",English,Phishing
SD0037,Credit Card/Loan Scams,Free credit card with Rs.50000 limit! Apply today: https://freecardoffer.example/apply Helpline: +91-9811223344 Sender: VM-CARDOFFER,English,Phishing
SD0038,Credit Card/Loan Scams,Aapka ICICI credit card block ho gaya. Turant unblock karein: https://icici-card-demo.example/unblock Sender: AD-ICICIBK,Hinglish,Phishing
SD0039,Credit Card/Loan Scams,URGENT: Your credit card reward points worth Rs.3500 will expire tonight. Redeem now: https://reward-redeem.example/redeem Sender: VM-CARDREWARD,English,Phishing
SD0040,Credit Card/Loan Scams,"Loan offer for you: Rs.10 Lakh in 24 hours, no documents needed. Click: http://nodoc-loan.example/apply Support: +91-9900223344",English,Phishing
SD0041,Credit Card/Loan Scams,"Dear User, Rs.2000 cashback pending on your credit card. Claim before it expires: https://cashback-claim.example/claim Sender: AD-BANKCRD",English,Phishing
SD0042,Credit Card/Loan Scams,Aapka loan approved ho gaya. Rs.50000 abhi account mein transfer honge. Details verify karein: http://loanapprove-demo.example/verify,Hinglish,Phishing
SD0043,Credit Card/Loan Scams,LAST OFFER: Pre-approved home loan at 6.5% interest. Apply before midnight: https://homeloan-fast.example/apply Helpline: +91-9800334455,English,Phishing
SD0044,Credit Card/Loan Scams,Your Kotak credit card is temporarily blocked. Unblock immediately: https://kotakcard.example/unblock Sender: VM-KOTAKCARD,English,Phishing
SD0045,Credit Card/Loan Scams,Credit score boost guaranteed! Apply for our new card and get Rs.5000 bonus: https://creditscore-offer.example/apply Support: +91-9988223300,English,Phishing
SD0046,Credit Card/Loan Scams,Aapko personal loan ke liye qualify kiya gaya hai. Rs.3 Lakh kal tak milenge. Abhi link par click karein: https://personalloan-demo.example/claim,Hinglish,Phishing
SD0047,Credit Card/Loan Scams,Alert: Outstanding balance on your HDFC card. Pay now to avoid penalty: https://hdfc-payment.example/pay Sender: AD-HDFCCRD,English,Phishing
SD0048,Credit Card/Loan Scams,OFFER: Zero processing fee loan for govt employees. Apply before 31st: https://govtloan-offer.example/apply Helpline: +91-9811009988,English,Phishing
SD0049,Credit Card/Loan Scams,Your credit limit has been reduced. To restore it update your KYC: https://creditkyc.example/update Sender: VM-CREDITUPD,English,Phishing
SD0050,Credit Card/Loan Scams,Loan mela! Rs.1 Lakh se Rs.50 Lakh tak ka loan sirf 5 minute mein. Apply karein: http://loanmela-demo.example/apply Helpline: +91-9877223311,Hinglish,Phishing
SD0051,Electricity Bill Scams,URGENT: Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: https://ebill-pay-demo.example/pay Sender: VM-EBILL,English,Phishing
SD0052,Electricity Bill Scams,"Dear Consumer, Your BESCOM electricity bill is overdue. Pay Rs.1240 immediately to avoid disconnection: http://bescom-pay.example/pay Helpline: +91-9800111222",English,Phishing
SD0053,Electricity Bill Scams,Aapka bijli bill abhi tak nahi bhara gaya. Aaj raat connection kat jayega. Turant yahan pay karein: https://bijli-bill-demo.example/pay,Hinglish,Phishing
SD0054,Electricity Bill Scams,ALERT: MSEDCL bill payment pending. Your power will be cut in 2 hours. Pay immediately: https://msedcl-pay.example/now Sender: AD-MSEDCL,English,Phishing
SD0055,Electricity Bill Scams,Notice from TNSEB: Bill payment overdue. Failure to pay within 24 hours will result in disconnection. Pay here: http://tnseb-bill.example/pay Support: +91-9988001234,English,Phishing
SD0056,Electricity Bill Scams,"Pyare Grahak, Aapka bijli ka bill Rs.890 pending hai. Aaj shaam se pehle pay karein warna light band ho jayegi: http://bijlibill-portal.example/pay",Hinglish,Phishing
SD0057,Electricity Bill Scams,FINAL NOTICE: KSEB bill unpaid. Disconnect order issued for your meter. Pay now to avoid disruption: https://kseb-payment.example/pay Sender: VM-KSEB,English,Phishing
SD0058,Electricity Bill Scams,"Dear Customer, Your electricity account shows a balance of Rs.2150 overdue. Pay before 6PM today: https://powerbill-demo.example/pay Helpline: +91-9822001133",English,Phishing
SD0059,Electricity Bill Scams,BSES Rajdhani: Aapka outstanding electricity bill Rs.1500 hai. Abhi pay karein: https://bses-bill.example/pay Sender: AD-BSESRJ,Hinglish,Phishing
SD0060,Electricity Bill Scams,URGENT: Last reminder before disconnection. Settle your electricity dues now: http://elec-due-demo.example/settle Helpline: +91-9900221133 Sender: VM-POWERBILL,English,Phishing
SD0061,Electricity Bill Scams,Your CESC electricity bill of Rs.3200 is unpaid. Immediate payment required to avoid service cut: https://cesc-pay-demo.example/pay Sender: AD-CESCALERT,English,Phishing
SD0062,Electricity Bill Scams,Bijli vibhag se soochna: Aapke account mein Rs.760 ka outstanding balance hai. Kal subah tak pay karein: http://bijlivibhag-demo.example/pay,Hinglish,Phishing
SD0063,Electricity Bill Scams,NOTICE: DHBVN electricity bill overdue. Your connection may be suspended by 8PM. Pay instantly: https://dhbvn-pay.example/now Sender: VM-DHBVN,English,Phishing
SD0064,Electricity Bill Scams,"Dear Consumer, Electricity board has issued a disconnection notice for meter no. XXXXXX. Pay dues: https://ebillsecure-demo.example/pay Support: +91-9811334455",English,Phishing
SD0065,Electricity Bill Scams,Aapka UPPCL ka bill Rs.1100 se zyada ho gaya hai. Abhi neeche link se pay karein warna connection band hoga: https://uppcl-demo.example/pay Sender: AD-UPPCL,Hinglish,Phishing
SD0066,Electricity Bill Scams,WBSEDCL Alert: Outstanding electricity dues detected. Pay within 3 hours to avoid power disconnection: https://wbsedcl-pay.example/pay Helpline: +91-9800445566,English,Phishing
SD0067,Electricity Bill Scams,Your electricity meter reading shows excessive usage. Bill revised to Rs.4500. Pay now: http://metered-bill-demo.example/revised Sender: VM-ELECBOARD,English,Phishing
SD0068,Electricity Bill Scams,TANGEDCO final notice: Pay electricity bill of Rs.980 within 1 hour to prevent outage: https://tangedco-pay.example/urgent Support: +91-9900556677,English,Phishing
SD0069,Electricity Bill Scams,Bijli bill mafi scheme! Sirf Rs.50 pay karein aur baaki bill maaf ho jayega. Apply karein: http://billmafi-demo.example/apply Sender: AD-SCHEME,Hinglish,Phishing
SD0070,Electricity Bill Scams,URGENT: Your prepaid electricity meter balance is critically low. Recharge immediately to prevent power cut: https://prepaid-elec.example/recharge Helpline: +91-9822556677,English,Phishing
SD0071,Lottery/Reward Scams,Congratulations! You have won Rs.25 Lakh in KBC Lucky Draw 2025. Claim your prize now: https://kbc-prize-demo.example/claim Sender: VM-KBCLUCKY,English,Phishing
SD0072,Lottery/Reward Scams,"Dear Winner, Your mobile number was selected in Jio Lucky Draw. Prize: Rs.50000. Claim: http://jiolucky-demo.example/win Helpline: +91-9900112200",English,Phishing
SD0073,Lottery/Reward Scams,Badhai ho! Aapka number Google Lucky Draw mein select hua. Rs.1 Lakh jeete. Abhi claim karein: https://googlelucky-demo.example/claim,Hinglish,Phishing
SD0074,Lottery/Reward Scams,ALERT: You have won a Samsung Galaxy phone in our prize draw. Collect within 48 hours: https://prize-collect.example/samsung Sender: AD-PRIZEDRAW,English,Phishing
SD0075,Lottery/Reward Scams,Your number won Rs.10 Lakh in the National Lottery 2025. Pay Rs.500 processing fee to claim: http://natlottery-demo.example/claim Support: +91-9811000011,English,Phishing
SD0076,Lottery/Reward Scams,Aapne Amazon Spin & Win mein Rs.75000 jeete hain! Claim karne ke liye abhi yahan click karein: https://amazon-spinwin.example/claim Sender: VM-AMAZONSPIN,Hinglish,Phishing
SD0077,Lottery/Reward Scams,WINNER NOTICE: Your SIM number selected in TRAI lucky draw. Prize Rs.15000. Verify to claim: https://trai-lucky.example/verify Helpline: +91-9988334400,English,Phishing
SD0078,Lottery/Reward Scams,Exclusive: You earned 50000 reward points on your shopping. Redeem before expiry tonight: https://rewardpoints-demo.example/redeem Sender: AD-REWARDPAY,English,Phishing
SD0079,Lottery/Reward Scams,Lucky Customer! Aap Flipkart Diwali Lucky Draw ke winner hain. Rs.2 Lakh ka prize aapka intezaar kar raha hai: http://flipkart-lucky.example/prize,Hinglish,Phishing
SD0080,Lottery/Reward Scams,Congratulations! You've been selected for a free trip to Dubai. Confirm details within 12 hours: https://dubaitrip-demo.example/confirm Support: +91-9800200300,English,Phishing
SD0081,Lottery/Reward Scams,"PRIZE ALERT: Rs.5 Lakh lottery amount approved in your name. To receive, pay Rs.999 token fee: https://prizetransfer-demo.example/fee Sender: VM-LOTTERYIND",English,Phishing
SD0082,Lottery/Reward Scams,Aapka WhatsApp number ek international lottery mein winner raha. $5000 claim karne ke liye click karein: http://intl-lottery-demo.example/claim,Hinglish,Phishing
SD0083,Lottery/Reward Scams,BSNL Monsoon Offer: You've won a free smartphone! Redeem by registering here: https://bsnl-prize.example/redeem Helpline: +91-9900002233 Sender: AD-BSNLWIN,English,Phishing
SD0084,Lottery/Reward Scams,Your Paytm account has received a cashback voucher of Rs.5000. Redeem before it expires: https://paytm-voucher.example/redeem Sender: VM-PAYTMRWD,English,Phishing
SD0085,Lottery/Reward Scams,Sirf aaj ke liye! Aapne Rs.1 Lakh ka bonus jeeta. Claim karne ke liye yahan click karein: https://bonus-claim-demo.example/claim Sender: AD-LUCKYWIN,Hinglish,Phishing
SD0086,Lottery/Reward Scams,Congrats! RBI Lottery Board has approved Rs.30 Lakh in your name. Contact agent to process: http://rbilottery-demo.example/process Support: +91-9811556677,English,Phishing
SD0087,Lottery/Reward Scams,You are today's lucky winner of the Airtel Rewards Program! Claim Rs.3000 here: https://airtel-rewards.example/claim Helpline: +91-9822113344 Sender: VM-AIRTELRWD,English,Phishing
SD0088,Lottery/Reward Scams,SPECIAL OFFER: Scratch and win! You won Rs.8500. Submit your bank details to receive: http://scratchwingame.example/submit Sender: AD-SCRATCHWIN,English,Phishing
SD0089,Lottery/Reward Scams,Vijeta! Aapko ek iPhone 15 jeeta hai. Delivery ke liye Rs.299 shipping charge pay karein: https://iphone-prize-demo.example/shipping,Hinglish,Phishing
SD0090,Lottery/Reward Scams,NOTICE: Unclaimed lottery prize of Rs.12 Lakh in your name. Last date to claim today. Visit: https://unclaimedprize-demo.example/claim Helpline: +91-9900445566,English,Phishing
SD0091,Social Media Account Scams,ALERT: Your Instagram account has been flagged for violation. Verify within 24 hours or it will be permanently deleted: https://insta-verify-demo.example/verify Sender: VM-INSTASEC,English,Phishing
SD0092,Social Media Account Scams,"Dear User, Your Facebook account login was attempted from an unknown device. Secure your account now: https://fb-secure-demo.example/lock Helpline: +91-9811220033",English,Phishing
SD0093,Social Media Account Scams,Aapka WhatsApp account suspend hone wala hai. Abhi verify karein: http://wa-verify-demo.example/confirm Sender: AD-WASUPPORT,Hinglish,Phishing
SD0094,Social Media Account Scams,Twitter/X ALERT: Unusual login to your account from a new IP. Confirm it was you: https://x-login-demo.example/confirm Sender: VM-XSUPPORT,English,Phishing
SD0095,Social Media Account Scams,Your YouTube channel monetisation has been paused. Verify your account to restore: https://yt-monetize-demo.example/restore Support: +91-9900887766,English,Phishing
SD0096,Social Media Account Scams,Aapke Facebook page ko copyright violation ki wajah se band kiya ja raha hai. Appeal karein: https://fb-appeal-demo.example/appeal Sender: AD-FBHELP,Hinglish,Phishing
SD0097,Social Media Account Scams,URGENT: Your Telegram account will be deactivated due to suspicious activity. Re-verify immediately: http://tg-secure-demo.example/verify Helpline: +91-9988001100,English,Phishing
SD0098,Social Media Account Scams,LinkedIn Security Alert: Your profile was accessed from an unknown location. Secure your account: https://linkedin-secure.example/secure Sender: VM-LKDNSEC,English,Phishing
SD0099,Social Media Account Scams,Aapka Instagram blue tick remove ho sakta hai. Abhi verify karein: https://insta-bluetick.example/verify Sender: AD-INSTASUP,Hinglish,Phishing
SD0100,Social Media Account Scams,NOTICE: Your Snapchat account is under review for community guideline violations. Respond within 12 hours: https://snap-review-demo.example/respond Support: +91-9822003344,English,Phishing
SD0101,Gambling/Gaming Scams,Congratulations! Aapne Online Rummy mein Rs.25000 jeete hain. Withdraw karne ke liye verify karein: https://rummy-win-demo.example/claim Sender: VM-RUMMYWIN,Hinglish,Phishing
SD0102,Gambling/Gaming Scams,"JACKPOT ALERT! You won Rs.50,000 on Teen Patti Gold. Claim within 24 hrs: http://teenpatti-bonus.example/withdraw Helpline: +91-9900112233",English,Phishing
SD0103,Gambling/Gaming Scams,"Dear Player, your account has Rs.10,000 bonus pending. Verify PAN to withdraw: https://gamingzone-demo.example/verify Sender: AD-GAMEZONE",English,Phishing
SD0104,Gambling/Gaming Scams,Aapka Ludo King wallet mein Rs.8000 add hua hai. Abhi claim karein warna expire ho jayega: https://ludo-rewards.example/claim,Hinglish,Phishing
SD0105,Gambling/Gaming Scams,WIN BIG! Deposit Rs.500 get Rs.5000 free in Poker App. Limited time offer: http://poker-bonus-demo.example/deposit Sender: VM-POKERAPP,English,Phishing
SD0106,Gambling/Gaming Scams,"Aapne Fantasy Cricket contest mein first prize jeeta hai Rs.1,00,000! KYC complete karein withdraw ke liye: https://fantasy-prize.example/kyc",Hinglish,Phishing
SD0107,Gambling/Gaming Scams,"ALERT: Your betting account shows unclaimed winnings of Rs.32,500. Login now: https://betwin-demo.example/login Helpline: +91-9811223344",English,Phishing
SD0108,Gambling/Gaming Scams,Casino Royale Bonus: Free Rs.2000 chips on signup today only. Register: http://casino-royale.example/signup Sender: AD-CASINOOFFER,English,Phishing
SD0109,Gambling/Gaming Scams,Aapka 91Club account suspend hone wala hai pending withdrawal ki wajah se. Verify karein: https://91club-verify-demo.example/verify,Hinglish,Phishing
SD0110,Gambling/Gaming Scams,"Congrats! You are selected for VIP gaming rewards worth Rs.75,000. Claim before midnight: https://vipgaming-demo.example/claim Sender: VM-VIPGAME",English,Phishing
SD0111,Gambling/Gaming Scams,Spin and win promo: Aaj hi spin karein aur jeetein Rs.1 Lakh tak. Free entry: http://luckyspin-demo.example/play Helpline: +91-9822334455,Hinglish,Phishing
SD0112,Gambling/Gaming Scams,"Dream11 ke contest mein aapki winning amount Rs.18,400 hold ho gayi hai. Release ke liye verify karein: https://dream-winning.example/release",Hinglish,Phishing
SD0113,Gambling/Gaming Scams,"FINAL NOTICE: Withdraw your pending game winnings of Rs.22,000 before account closure: https://gamewallet-demo.example/withdraw Sender: AD-GAMEWALLET",English,Phishing
SD0114,Gambling/Gaming Scams,Aapko Andar Bahar app mein lucky bonus mila hai Rs.6500. Activate karein abhi: http://andarbahar-bonus.example/activate,Hinglish,Phishing
SD0115,Gambling/Gaming Scams,Refer and Earn: Apne friends ko invite karo aur paao Rs.500 per referral instantly. Join: https://refergame-demo.example/join Sender: VM-REFERGAME,Hinglish,Phishing
SD0116,SIM/KYC Scams,IMPORTANT: Your SIM card KYC verification is incomplete. Update within 24 hours or service will be suspended: https://simkyc-update.example/verify Sender: VM-TELECOM,English,Phishing
SD0117,SIM/KYC Scams,Aapka mobile number 2 ghante mein band ho jayega due to pending Aadhaar KYC. Abhi update karein: http://aadhaar-simkyc.example/update Helpline: +91-9876123450,Hinglish,Phishing
SD0118,SIM/KYC Scams,"Dear Customer, your e-KYC is pending and SIM will be deactivated tonight. Click to complete: https://ekyc-portal-demo.example/complete Sender: AD-JIOKYC",English,Phishing
SD0119,SIM/KYC Scams,NOTICE: TRAI ke naye niyam ke according aapka SIM 24 ghante mein band hoga. Re-verify karein: https://trai-simverify.example/reverify,Hinglish,Phishing
SD0120,SIM/KYC Scams,Your Airtel number will be permanently blocked due to incomplete KYC. Verify now: http://airtel-kycverify.example/verify Helpline: +91-9900223344,English,Phishing
SD0121,SIM/KYC Scams,Last warning: Your VI SIM KYC update pending. Complete it now to avoid disconnection: https://vi-kycupdate.example/now Sender: VM-VIKYC,English,Phishing
SD0122,SIM/KYC Scams,Aapka BSNL SIM card document verification ke bina suspend kar diya jayega. Turant link kholen: http://bsnl-docverify.example/link,Hinglish,Phishing
SD0123,SIM/KYC Scams,ALERT: Unusual activity detected on your SIM. Re-KYC required immediately to prevent number porting fraud: https://simfraud-alert.example/rekyc Sender: AD-SIMSECURE,English,Phishing
SD0124,SIM/KYC Scams,Telecom Dept notice: Aapka number duplicate KYC ki wajah se flag hua hai. Verify karein 12 ghante mein: https://telecom-flagcheck.example/verify,Hinglish,Phishing
SD0125,SIM/KYC Scams,"Dear Subscriber, your SIM will stop working from tomorrow. Complete biometric KYC update here: https://biometric-simkyc.example/update Helpline: +91-9811556677",English,Phishing
SD0126,SIM/KYC Scams,Aapke naam par 9 SIM cards issue hue hain jo fraud mein use ho rahe hain. Block karne ke liye click karein: http://simfraud-block.example/block,Hinglish,Phishing
SD0127,SIM/KYC Scams,Final Reminder: Your mobile KYC expires today. Failure to update will result in permanent number loss: https://kycexpiry-demo.example/renew Sender: VM-KYCRENEW,English,Phishing
SD0128,SIM/KYC Scams,Govt notice: Sabhi SIM card holders ko naya KYC form bharna zaroori hai. Form yahan bharein: https://govtsimform.example/fillform,Hinglish,Phishing
SD0129,SIM/KYC Scams,Your SIM-based bank OTP service will stop due to KYC mismatch. Resolve immediately: http://otpkyc-mismatch.example/resolve Helpline: +91-9822667788,English,Phishing
SD0130,SIM/KYC Scams,Aapka international roaming SIM verification ke bina cancel ho jayega. Abhi confirm karein: https://roamingsim-verify.example/confirm Sender: AD-ROAMVERIFY,Hinglish,Phishing
SD0131,Job Scams,"HIRING NOW: Part-time online typing job, earn Rs.20,000/month from home. Apply today: https://typingjobs-demo.example/apply Sender: VM-TYPEJOB",English,Phishing
SD0132,Job Scams,Aapko Amazon packing job ke liye select kiya gaya hai. Daily payment Rs.1200. Registration karein: http://amazonpack-job.example/register Helpline: +91-9877001122,Hinglish,Phishing
SD0133,Job Scams,"Work From Home Alert: Data entry job, no qualification needed, Rs.18000/week guaranteed. Join now: https://wfhjobs-demo.example/join Sender: AD-WFHJOBS",English,Phishing
SD0134,Job Scams,"Govt job vacancy: Railway mein 5000+ posts nikli hain, application free hai. Apply karein abhi: https://railwayjobs-demo.example/apply",Hinglish,Phishing
SD0135,Job Scams,"Dear Candidate, your HR interview is scheduled. Pay registration fee Rs.500 to confirm slot: http://hrinterview-confirm.example/pay Helpline: +91-9900334455",English,Phishing
SD0136,Credit Card/Loan Scams,Aapka SBI card upgrade ho gaya hai with Rs.5 Lakh limit. Activate karein abhi: https://sbicard-upgrade.example/activate Sender: VM-SBICARD,Hinglish,Phishing
SD0137,Credit Card/Loan Scams,"Pre-approved instant loan of Rs.2,00,000 available. No documents required. Apply: http://instantloan-demo.example/apply Helpline: +91-9811223300",English,Phishing
SD0138,Credit Card/Loan Scams,URGENT: Your ICICI credit card payment failed. Update card details to avoid blocking: https://iciciupdate-demo.example/update Sender: AD-ICICIPAY,English,Phishing
SD0139,Credit Card/Loan Scams,"Aapke liye special loan offer: Sirf 2% interest rate, abhi apply karein: https://lowinterest-loan.example/apply",Hinglish,Phishing
SD0140,Credit Card/Loan Scams,Your loan EMI bounced. Pay immediately to avoid CIBIL score damage: http://emibounce-pay.example/pay Helpline: +91-9822445566,English,Phishing
SD0141,Electricity Bill Scams,Final Notice: Aapka power connection 3 ghante mein katega due bill ki wajah se. Pay karein: https://powercut-final.example/pay Sender: VM-POWERPAY,Hinglish,Phishing
SD0142,Electricity Bill Scams,"Dear Consumer, your electricity board account shows Rs.2150 due. Settle now: http://ebillsettle-demo.example/settle Helpline: +91-9900556677",English,Phishing
SD0143,Electricity Bill Scams,TNEB Alert: Aapka bijli bill autopay fail ho gaya. Manually pay karein abhi: https://tnebpay-demo.example/manualpay Sender: AD-TNEBALERT,Hinglish,Phishing
SD0144,Lottery/Reward Scams,"CONGRATULATIONS! Your mobile number won Rs.10,00,000 in KBC lucky draw. Claim now: https://kbclucky-demo.example/claim Sender: VM-KBCWIN",English,Phishing
SD0145,Lottery/Reward Scams,Aapko Flipkart anniversary lucky draw mein iPhone jeeta hai. Delivery ke liye details bharein: http://flipkart-luckydraw.example/details,Hinglish,Phishing
SD0146,Lottery/Reward Scams,"WINNER NOTICE: You have been selected for Rs.5,00,000 cash reward. Verify identity to claim: https://cashreward-demo.example/verify Helpline: +91-9811667788",English,Phishing
SD0147,Social Media Account Scams,WhatsApp Security Team: Aapka account 2 din mein deactivate hoga unauthorized login ki wajah se. Verify: https://wa-secureteam.example/verify,Hinglish,Phishing
SD0148,Social Media Account Scams,Your Twitter/X account has been reported for violation. Appeal now or lose access permanently: http://x-appeal-demo.example/appeal Sender: AD-XSUPPORT,English,Phishing
SD0149,Social Media Account Scams,Aapka YouTube channel copyright strike ki wajah se band hone wala hai. Abhi appeal file karein: https://yt-strikeappeal.example/file Helpline: +91-9822990011,Hinglish,Phishing
SD0150,Social Media Account Scams,Pinterest Alert: Suspicious login detected from new device. Secure your account immediately: https://pinterest-secure-demo.example/secure Sender: VM-PINSEC,English,Phishing
SD0151,Social Media Account Scams,Aapka Facebook account hack hone se bachane ke liye abhi password reset karein: https://fb-protect-demo.example/reset Sender: VM-FBPROTECT,Hinglish,Phishing
SD0152,Social Media Account Scams,Instagram Support: Your account is scheduled for permanent deletion due to copyright claim. Appeal here: http://insta-deletealert.example/appeal Helpline: +91-9900112244,English,Phishing
SD0153,Social Media Account Scams,Aapke WhatsApp Business account par naya policy update aaya hai. Accept karein 24 ghante mein: https://wa-bizpolicy.example/accept Sender: AD-WABIZ,Hinglish,Phishing
SD0154,Social Media Account Scams,Your Facebook Page has been flagged for monetization violation. Verify identity to restore: https://fbpage-restore-demo.example/verify Helpline: +91-9822110033,English,Phishing
SD0155,Social Media Account Scams,URGENT: Aapka Gmail account suspicious activity ki wajah se lock kiya gaya hai. Unlock karein: http://gmail-unlock-demo.example/unlock,Hinglish,Phishing
SD0156,Social Media Account Scams,Telegram Premium offer expiring! Confirm your subscription to avoid account restriction: https://tg-premium-demo.example/confirm Sender: VM-TGPREMIUM,English,Phishing
SD0157,Social Media Account Scams,Aapka LinkedIn profile verification ke bina restrict ho jayega recruiters ke liye. Verify karein: https://linkedin-restrict.example/verify Helpline: +91-9811223399,Hinglish,Phishing
