Sample_ID,Category,SMS_Text,Language,Label,text_length,contains_url,extracted_url,url_domain,text_length,word_count,urgency_keyword_count,sensitive_keyword_count,action_keyword_count,exclamation_count,question_count,digit_count,uppercase_count
SD0025,SIM/KYC Scams,NOTICE: Your mobile SIM KYC expired. Submit Aadhaar within 2 hours. Visit: http://sim-kyc-verify.example/submit Sender: VM-TELCOM,English,Phishing,129,True,http://sim-kyc-verify.example/submit,sim-kyc-verify.example,129,15,2,3,1,0,0,1,25
SD0026,SIM/KYC Scams,"Pyare User, Aapka SIM block hone wala hai. KYC verify karne ke liye niche click karein: http://simkyc-demo.example/update",Hinglish,Phishing,121,True,http://simkyc-demo.example/update,simkyc-demo.example,121,17,0,3,3,0,0,0,9
SD0027,SIM/KYC Scams,TRAI notice: Re-submit your KYC documents to retain SIM services. Link: https://trai-kyc-verify.example/docs Helpline: +91-9800555566,English,Phishing,133,True,https://trai-kyc-verify.example/docs,trai-kyc-verify.example,133,14,0,3,1,0,0,12,13
SD0028,SIM/KYC Scams,Your Aadhaar-SIM linking is incomplete. Update now to continue services: https://aadhar-sim-link.example/verify Sender: AD-SIMKYC,English,Phishing,129,True,https://aadhar-sim-link.example/verify,aadhar-sim-link.example,129,13,1,2,2,0,0,0,15
SD0029,SIM/KYC Scams,SIM band hone se rokne ke liye abhi OTP daalein aur verify karein: https://simverify-portal.example/otp Sender: VM-JIOKYC,Hinglish,Phishing,121,True,https://simverify-portal.example/otp,simverify-portal.example,121,16,0,5,2,0,0,0,15
SD0030,SIM/KYC Scams,FINAL WARNING: Airtel SIM will be permanently deactivated within 12 hours unless KYC is updated. Act now: http://airtel-sim-kyc.example/update,English,Phishing,142,True,http://airtel-sim-kyc.example/update,airtel-sim-kyc.example,142,18,2,2,3,0,0,2,20
SD0031,Credit Card/Loan Scams,Congratulations! You are pre-approved for a personal loan of Rs.5 Lakh. No CIBIL check. Apply: https://quickloan-india.example/apply Helpline: +91-9899001122,English,Phishing,157,True,https://quickloan-india.example/apply,quickloan-india.example,157,18,0,0,2,1,0,13,12
SD0032,Credit Card/Loan Scams,"Dear Customer, Your HDFC credit card limit has been upgraded. Activate now: https://hdfc-card-demo.example/activate Sender: VM-HDFCBANK",English,Phishing,135,True,https://hdfc-card-demo.example/activate,hdfc-card-demo.example,135,15,1,1,2,0,0,0,19
SD0033,Credit Card/Loan Scams,Aapko 0% byaj par Rs.2 lakh ka loan mil sakta hai. Abhi apply karein: http://loan-offer-demo.example/apply Helpline: +91-9822334455,Hinglish,Phishing,131,True,http://loan-offer-demo.example/apply,loan-offer-demo.example,131,17,0,0,2,0,0,14,4
SD0034,Credit Card/Loan Scams,ALERT: Your SBI credit card EMI payment failed. Update payment method to avoid late fee: https://sbi-card-demo.example/update Sender: AD-SBICRD,English,Phishing,143,True,https://sbi-card-demo.example/update,sbi-card-demo.example,143,18,0,2,4,0,0,0,22
SD0035,Credit Card/Loan Scams,Instant loan approved! Disburse Rs.1 Lakh in 2 hours. Submit your details: https://instant-loan-portal.example/disburse Support: +91-9988112233,English,Phishing,143,True,https://instant-loan-portal.example/disburse,instant-loan-portal.example,143,15,0,0,0,1,0,14,6
SD0036,Credit Card/Loan Scams,"Dear Valued Customer, Your Axis Bank credit card has been suspended due to unusual activity. Reactivate: http://axiscard-demo.example/reactivate",English,Phishing,144,True,http://axiscard-demo.example/reactivate,axiscard-demo.example,144,17,1,1,2,0,0,0,7
SD0037,Credit Card/Loan Scams,Free credit card with Rs.50000 limit! Apply today: https://freecardoffer.example/apply Helpline: +91-9811223344 Sender: VM-CARDOFFER,English,Phishing,132,True,https://freecardoffer.example/apply,freecardoffer.example,132,13,1,0,2,1,0,17,16
SD0038,Credit Card/Loan Scams,Aapka ICICI credit card block ho gaya. Turant unblock karein: https://icici-card-demo.example/unblock Sender: AD-ICICIBK,Hinglish,Phishing,120,True,https://icici-card-demo.example/unblock,icici-card-demo.example,120,13,0,0,0,0,0,0,17
SD0039,Credit Card/Loan Scams,URGENT: Your credit card reward points worth Rs.3500 will expire tonight. Redeem now: https://reward-redeem.example/redeem Sender: VM-CARDREWARD,English,Phishing,144,True,https://reward-redeem.example/redeem,reward-redeem.example,144,16,3,0,0,0,0,4,22
SD0040,Credit Card/Loan Scams,"Loan offer for you: Rs.10 Lakh in 24 hours, no documents needed. Click: http://nodoc-loan.example/apply Support: +91-9900223344",English,Phishing,127,True,http://nodoc-loan.example/apply,nodoc-loan.example,127,16,0,0,2,0,0,16,5
SD0041,Credit Card/Loan Scams,"Dear User, Rs.2000 cashback pending on your credit card. Claim before it expires: https://cashback-claim.example/claim Sender: AD-BANKCRD",English,Phishing,137,True,https://cashback-claim.example/claim,cashback-claim.example,137,16,1,1,0,0,0,4,14
SD0042,Credit Card/Loan Scams,Aapka loan approved ho gaya. Rs.50000 abhi account mein transfer honge. Details verify karein: http://loanapprove-demo.example/verify,Hinglish,Phishing,133,True,http://loanapprove-demo.example/verify,loanapprove-demo.example,133,15,0,3,2,0,0,5,3
SD0043,Credit Card/Loan Scams,LAST OFFER: Pre-approved home loan at 6.5% interest. Apply before midnight: https://homeloan-fast.example/apply Helpline: +91-9800334455,English,Phishing,136,True,https://homeloan-fast.example/apply,homeloan-fast.example,136,14,0,0,2,0,0,14,12
SD0044,Credit Card/Loan Scams,Your Kotak credit card is temporarily blocked. Unblock immediately: https://kotakcard.example/unblock Sender: VM-KOTAKCARD,English,Phishing,122,True,https://kotakcard.example/unblock,kotakcard.example,122,12,2,0,0,0,0,0,15
SD0045,Credit Card/Loan Scams,Credit score boost guaranteed! Apply for our new card and get Rs.5000 bonus: https://creditscore-offer.example/apply Support: +91-9988223300,English,Phishing,140,True,https://creditscore-offer.example/apply,creditscore-offer.example,140,16,0,0,2,1,0,16,4
SD0046,Credit Card/Loan Scams,Aapko personal loan ke liye qualify kiya gaya hai. Rs.3 Lakh kal tak milenge. Abhi link par click karein: https://personalloan-demo.example/claim,Hinglish,Phishing,145,True,https://personalloan-demo.example/claim,personalloan-demo.example,145,20,0,0,1,0,0,1,4
SD0047,Credit Card/Loan Scams,Alert: Outstanding balance on your HDFC card. Pay now to avoid penalty: https://hdfc-payment.example/pay Sender: AD-HDFCCRD,English,Phishing,123,True,https://hdfc-payment.example/pay,hdfc-payment.example,123,15,1,1,3,0,0,0,17
SD0048,Credit Card/Loan Scams,OFFER: Zero processing fee loan for govt employees. Apply before 31st: https://govtloan-offer.example/apply Helpline: +91-9811009988,English,Phishing,132,True,https://govtloan-offer.example/apply,govtloan-offer.example,132,14,0,0,2,0,0,14,8
SD0049,Credit Card/Loan Scams,Your credit limit has been reduced. To restore it update your KYC: https://creditkyc.example/update Sender: VM-CREDITUPD,English,Phishing,120,True,https://creditkyc.example/update,creditkyc.example,120,15,0,2,2,0,0,0,17
SD0050,Credit Card/Loan Scams,Loan mela! Rs.1 Lakh se Rs.50 Lakh tak ka loan sirf 5 minute mein. Apply karein: http://loanmela-demo.example/apply Helpline: +91-9877223311,Hinglish,Phishing,140,True,http://loanmela-demo.example/apply,loanmela-demo.example,140,19,0,0,2,1,0,16,7
SD0051,Electricity Bill Scams,URGENT: Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: https://ebill-pay-demo.example/pay Sender: VM-EBILL,English,Phishing,145,True,https://ebill-pay-demo.example/pay,ebill-pay-demo.example,145,17,3,0,3,0,0,0,16
SD0052,Electricity Bill Scams,"Dear Consumer, Your BESCOM electricity bill is overdue. Pay Rs.1240 immediately to avoid disconnection: http://bescom-pay.example/pay Helpline: +91-9800111222",English,Phishing,158,True,http://bescom-pay.example/pay,bescom-pay.example,158,17,2,0,3,0,0,16,12
SD0053,Electricity Bill Scams,Aapka bijli bill abhi tak nahi bhara gaya. Aaj raat connection kat jayega. Turant yahan pay karein: https://bijli-bill-demo.example/pay,Hinglish,Phishing,135,True,https://bijli-bill-demo.example/pay,bijli-bill-demo.example,135,18,0,0,2,0,0,0,3
SD0054,Electricity Bill Scams,ALERT: MSEDCL bill payment pending. Your power will be cut in 2 hours. Pay immediately: https://msedcl-pay.example/now Sender: AD-MSEDCL,English,Phishing,136,True,https://msedcl-pay.example/now,msedcl-pay.example,136,18,2,1,3,0,0,1,22
SD0055,Electricity Bill Scams,Notice from TNSEB: Bill payment overdue. Failure to pay within 24 hours will result in disconnection. Pay here: http://tnseb-bill.example/pay Support: +91-9988001234,English,Phishing,165,True,http://tnseb-bill.example/pay,tnseb-bill.example,165,21,2,1,4,0,0,14,10
SD0056,Electricity Bill Scams,"Pyare Grahak, Aapka bijli ka bill Rs.890 pending hai. Aaj shaam se pehle pay karein warna light band ho jayegi: http://bijlibill-portal.example/pay",Hinglish,Phishing,147,True,http://bijlibill-portal.example/pay,bijlibill-portal.example,147,21,0,0,2,0,0,3,5
SD0057,Electricity Bill Scams,FINAL NOTICE: KSEB bill unpaid. Disconnect order issued for your meter. Pay now to avoid disruption: https://kseb-payment.example/pay Sender: VM-KSEB,English,Phishing,149,True,https://kseb-payment.example/pay,kseb-payment.example,149,19,2,1,3,0,0,0,24
SD0058,Electricity Bill Scams,"Dear Customer, Your electricity account shows a balance of Rs.2150 overdue. Pay before 6PM today: https://powerbill-demo.example/pay Helpline: +91-9822001133",English,Phishing,157,True,https://powerbill-demo.example/pay,powerbill-demo.example,157,18,1,1,2,0,0,17,8
SD0059,Electricity Bill Scams,BSES Rajdhani: Aapka outstanding electricity bill Rs.1500 hai. Abhi pay karein: https://bses-bill.example/pay Sender: AD-BSESRJ,Hinglish,Phishing,127,True,https://bses-bill.example/pay,bses-bill.example,127,14,0,0,2,0,0,4,17
SD0060,Electricity Bill Scams,URGENT: Last reminder before disconnection. Settle your electricity dues now: http://elec-due-demo.example/settle Helpline: +91-9900221133 Sender: VM-POWERBILL,English,Phishing,159,True,http://elec-due-demo.example/settle,elec-due-demo.example,159,15,3,0,0,0,0,12,21
SD0061,Electricity Bill Scams,Your CESC electricity bill of Rs.3200 is unpaid. Immediate payment required to avoid service cut: https://cesc-pay-demo.example/pay Sender: AD-CESCALERT,English,Phishing,152,True,https://cesc-pay-demo.example/pay,cesc-pay-demo.example,152,18,0,1,3,0,0,4,19
SD0062,Electricity Bill Scams,Bijli vibhag se soochna: Aapke account mein Rs.760 ka outstanding balance hai. Kal subah tak pay karein: http://bijlivibhag-demo.example/pay,Hinglish,Phishing,140,True,http://bijlivibhag-demo.example/pay,bijlivibhag-demo.example,140,18,0,1,2,0,0,3,4
SD0063,Electricity Bill Scams,NOTICE: DHBVN electricity bill overdue. Your connection may be suspended by 8PM. Pay instantly: https://dhbvn-pay.example/now Sender: VM-DHBVN,English,Phishing,142,True,https://dhbvn-pay.example/now,dhbvn-pay.example,142,17,2,0,2,0,0,1,23
SD0064,Electricity Bill Scams,"Dear Consumer, Electricity board has issued a disconnection notice for meter no. XXXXXX. Pay dues: https://ebillsecure-demo.example/pay Support: +91-9811334455",English,Phishing,159,True,https://ebillsecure-demo.example/pay,ebillsecure-demo.example,159,18,1,0,3,0,0,12,11
SD0065,Electricity Bill Scams,Aapka UPPCL ka bill Rs.1100 se zyada ho gaya hai. Abhi neeche link se pay karein warna connection band hoga: https://uppcl-demo.example/pay Sender: AD-UPPCL,Hinglish,Phishing,156,True,https://uppcl-demo.example/pay,uppcl-demo.example,156,23,0,0,2,0,0,4,16
SD0066,Electricity Bill Scams,WBSEDCL Alert: Outstanding electricity dues detected. Pay within 3 hours to avoid power disconnection: https://wbsedcl-pay.example/pay Helpline: +91-9800445566,English,Phishing,159,True,https://wbsedcl-pay.example/pay,wbsedcl-pay.example,159,17,1,0,3,0,0,13,11
SD0067,Electricity Bill Scams,Your electricity meter reading shows excessive usage. Bill revised to Rs.4500. Pay now: http://metered-bill-demo.example/revised Sender: VM-ELECBOARD,English,Phishing,149,True,http://metered-bill-demo.example/revised,metered-bill-demo.example,149,16,1,0,1,0,0,4,16
SD0068,Electricity Bill Scams,TANGEDCO final notice: Pay electricity bill of Rs.980 within 1 hour to prevent outage: https://tangedco-pay.example/urgent Support: +91-9900556677,English,Phishing,146,True,https://tangedco-pay.example/urgent,tangedco-pay.example,146,17,1,0,2,0,0,16,11
SD0069,Electricity Bill Scams,Bijli bill mafi scheme! Sirf Rs.50 pay karein aur baaki bill maaf ho jayega. Apply karein: http://billmafi-demo.example/apply Sender: AD-SCHEME,Hinglish,Phishing,143,True,http://billmafi-demo.example/apply,billmafi-demo.example,143,19,0,0,3,1,0,2,13
SD0070,Electricity Bill Scams,URGENT: Your prepaid electricity meter balance is critically low. Recharge immediately to prevent power cut: https://prepaid-elec.example/recharge Helpline: +91-9822556677,English,Phishing,171,True,https://prepaid-elec.example/recharge,prepaid-elec.example,171,18,2,0,0,0,0,12,9
SD0071,Lottery/Reward Scams,Congratulations! You have won Rs.25 Lakh in KBC Lucky Draw 2025. Claim your prize now: https://kbc-prize-demo.example/claim Sender: VM-KBCLUCKY,English,Phishing,143,True,https://kbc-prize-demo.example/claim,kbc-prize-demo.example,143,18,1,0,0,1,0,6,21
SD0072,Lottery/Reward Scams,"Dear Winner, Your mobile number was selected in Jio Lucky Draw. Prize: Rs.50000. Claim: http://jiolucky-demo.example/win Helpline: +91-9900112200",English,Phishing,145,True,http://jiolucky-demo.example/win,jiolucky-demo.example,145,17,0,0,0,0,0,17,10
SD0073,Lottery/Reward Scams,Badhai ho! Aapka number Google Lucky Draw mein select hua. Rs.1 Lakh jeete. Abhi claim karein: https://googlelucky-demo.example/claim,Hinglish,Phishing,133,True,https://googlelucky-demo.example/claim,googlelucky-demo.example,133,17,0,0,0,1,0,1,8
SD0074,Lottery/Reward Scams,ALERT: You have won a Samsung Galaxy phone in our prize draw. Collect within 48 hours: https://prize-collect.example/samsung Sender: AD-PRIZEDRAW,English,Phishing,145,True,https://prize-collect.example/samsung,prize-collect.example,145,19,0,0,0,0,0,2,21
SD0075,Lottery/Reward Scams,Your number won Rs.10 Lakh in the National Lottery 2025. Pay Rs.500 processing fee to claim: http://natlottery-demo.example/claim Support: +91-9811000011,English,Phishing,153,True,http://natlottery-demo.example/claim,natlottery-demo.example,153,19,0,0,1,0,0,21,8
SD0076,Lottery/Reward Scams,Aapne Amazon Spin & Win mein Rs.75000 jeete hain! Claim karne ke liye abhi yahan click karein: https://amazon-spinwin.example/claim Sender: VM-AMAZONSPIN,Hinglish,Phishing,153,True,https://amazon-spinwin.example/claim,amazon-spinwin.example,153,20,0,3,1,1,0,5,19
SD0077,Lottery/Reward Scams,WINNER NOTICE: Your SIM number selected in TRAI lucky draw. Prize Rs.15000. Verify to claim: https://trai-lucky.example/verify Helpline: +91-9988334400,English,Phishing,151,True,https://trai-lucky.example/verify,trai-lucky.example,151,18,0,2,2,0,0,17,24
SD0078,Lottery/Reward Scams,Exclusive: You earned 50000 reward points on your shopping. Redeem before expiry tonight: https://rewardpoints-demo.example/redeem Sender: AD-REWARDPAY,English,Phishing,151,True,https://rewardpoints-demo.example/redeem,rewardpoints-demo.example,151,16,0,1,1,0,0,5,15
SD0079,Lottery/Reward Scams,Lucky Customer! Aap Flipkart Diwali Lucky Draw ke winner hain. Rs.2 Lakh ka prize aapka intezaar kar raha hai: http://flipkart-lucky.example/prize,Hinglish,Phishing,146,True,http://flipkart-lucky.example/prize,flipkart-lucky.example,146,20,0,0,0,1,0,1,9
SD0080,Lottery/Reward Scams,Congratulations! You've been selected for a free trip to Dubai. Confirm details within 12 hours: https://dubaitrip-demo.example/confirm Support: +91-9800200300,English,Phishing,159,True,https://dubaitrip-demo.example/confirm,dubaitrip-demo.example,159,18,0,0,2,1,0,14,5
SD0081,Lottery/Reward Scams,"PRIZE ALERT: Rs.5 Lakh lottery amount approved in your name. To receive, pay Rs.999 token fee: https://prizetransfer-demo.example/fee Sender: VM-LOTTERYIND",English,Phishing,155,True,https://prizetransfer-demo.example/fee,prizetransfer-demo.example,155,19,0,0,1,0,0,4,27
SD0082,Lottery/Reward Scams,Aapka WhatsApp number ek international lottery mein winner raha. $5000 claim karne ke liye click karein: http://intl-lottery-demo.example/claim,Hinglish,Phishing,143,True,http://intl-lottery-demo.example/claim,intl-lottery-demo.example,143,17,0,0,1,0,0,4,3
SD0083,Lottery/Reward Scams,BSNL Monsoon Offer: You've won a free smartphone! Redeem by registering here: https://bsnl-prize.example/redeem Helpline: +91-9900002233 Sender: AD-BSNLWIN,English,Phishing,155,True,https://bsnl-prize.example/redeem,bsnl-prize.example,155,17,0,0,1,1,0,12,19
SD0084,Lottery/Reward Scams,Your Paytm account has received a cashback voucher of Rs.5000. Redeem before it expires: https://paytm-voucher.example/redeem Sender: VM-PAYTMRWD,English,Phishing,145,True,https://paytm-voucher.example/redeem,paytm-voucher.example,145,17,1,1,3,0,0,4,15
SD0085,Lottery/Reward Scams,Sirf aaj ke liye! Aapne Rs.1 Lakh ka bonus jeeta. Claim karne ke liye yahan click karein: https://bonus-claim-demo.example/claim Sender: AD-LUCKYWIN,Hinglish,Phishing,148,True,https://bonus-claim-demo.example/claim,bonus-claim-demo.example,148,20,0,0,1,1,0,1,16
SD0086,Lottery/Reward Scams,Congrats! RBI Lottery Board has approved Rs.30 Lakh in your name. Contact agent to process: http://rbilottery-demo.example/process Support: +91-9811556677,English,Phishing,154,True,http://rbilottery-demo.example/process,rbilottery-demo.example,154,18,0,0,0,1,0,14,10
SD0087,Lottery/Reward Scams,You are today's lucky winner of the Airtel Rewards Program! Claim Rs.3000 here: https://airtel-rewards.example/claim Helpline: +91-9822113344 Sender: VM-AIRTELRWD,English,Phishing,162,True,https://airtel-rewards.example/claim,airtel-rewards.example,162,18,1,0,0,1,0,16,19
SD0088,Lottery/Reward Scams,SPECIAL OFFER: Scratch and win! You won Rs.8500. Submit your bank details to receive: http://scratchwingame.example/submit Sender: AD-SCRATCHWIN,English,Phishing,144,True,http://scratchwingame.example/submit,scratchwingame.example,144,17,0,1,0,1,0,4,29
SD0089,Lottery/Reward Scams,Vijeta! Aapko ek iPhone 15 jeeta hai. Delivery ke liye Rs.299 shipping charge pay karein: https://iphone-prize-demo.example/shipping,Hinglish,Phishing,132,True,https://iphone-prize-demo.example/shipping,iphone-prize-demo.example,132,16,0,2,1,1,0,5,5
SD0090,Lottery/Reward Scams,NOTICE: Unclaimed lottery prize of Rs.12 Lakh in your name. Last date to claim today. Visit: https://unclaimedprize-demo.example/claim Helpline: +91-9900445566,English,Phishing,159,True,https://unclaimedprize-demo.example/claim,unclaimedprize-demo.example,159,19,1,0,0,0,0,14,12
SD0091,Social Media Account Scams,ALERT: Your Instagram account has been flagged for violation. Verify within 24 hours or it will be permanently deleted: https://insta-verify-demo.example/verify Sender: VM-INSTASEC,English,Phishing,180,True,https://insta-verify-demo.example/verify,insta-verify-demo.example,180,22,1,4,3,0,0,2,19
SD0092,Social Media Account Scams,"Dear User, Your Facebook account login was attempted from an unknown device. Secure your account now: https://fb-secure-demo.example/lock Helpline: +91-9811220033",English,Phishing,162,True,https://fb-secure-demo.example/lock,fb-secure-demo.example,162,19,2,2,3,0,0,12,6
SD0093,Social Media Account Scams,Aapka WhatsApp account suspend hone wala hai. Abhi verify karein: http://wa-verify-demo.example/confirm Sender: AD-WASUPPORT,Hinglish,Phishing,124,True,http://wa-verify-demo.example/confirm,wa-verify-demo.example,124,13,0,3,3,0,0,0,16
SD0094,Social Media Account Scams,Twitter/X ALERT: Unusual login to your account from a new IP. Confirm it was you: https://x-login-demo.example/confirm Sender: VM-XSUPPORT,English,Phishing,138,True,https://x-login-demo.example/confirm,x-login-demo.example,138,18,0,1,4,0,0,0,22
SD0095,Social Media Account Scams,Your YouTube channel monetisation has been paused. Verify your account to restore: https://yt-monetize-demo.example/restore Support: +91-9900887766,English,Phishing,147,True,https://yt-monetize-demo.example/restore,yt-monetize-demo.example,147,15,0,2,1,0,0,12,5
SD0096,Social Media Account Scams,Aapke Facebook page ko copyright violation ki wajah se band kiya ja raha hai. Appeal karein: https://fb-appeal-demo.example/appeal Sender: AD-FBHELP,Hinglish,Phishing,148,True,https://fb-appeal-demo.example/appeal,fb-appeal-demo.example,148,19,0,0,0,0,0,0,12
SD0097,Social Media Account Scams,URGENT: Your Telegram account will be deactivated due to suspicious activity. Re-verify immediately: http://tg-secure-demo.example/verify Helpline: +91-9988001100,English,Phishing,162,True,http://tg-secure-demo.example/verify,tg-secure-demo.example,162,16,2,3,4,0,0,12,10
SD0098,Social Media Account Scams,LinkedIn Security Alert: Your profile was accessed from an unknown location. Secure your account: https://linkedin-secure.example/secure Sender: VM-LKDNSEC,English,Phishing,155,True,https://linkedin-secure.example/secure,linkedin-secure.example,155,17,1,1,3,0,0,0,16
SD0099,Social Media Account Scams,Aapka Instagram blue tick remove ho sakta hai. Abhi verify karein: https://insta-bluetick.example/verify Sender: AD-INSTASUP,Hinglish,Phishing,124,True,https://insta-bluetick.example/verify,insta-bluetick.example,124,14,0,2,2,0,0,0,14
SD0100,Social Media Account Scams,NOTICE: Your Snapchat account is under review for community guideline violations. Respond within 12 hours: https://snap-review-demo.example/respond Support: +91-9822003344,English,Phishing,171,True,https://snap-review-demo.example/respond,snap-review-demo.example,171,18,0,1,0,0,0,14,10
SD0101,Gambling/Gaming Scams,Congratulations! Aapne Online Rummy mein Rs.25000 jeete hain. Withdraw karne ke liye verify karein: https://rummy-win-demo.example/claim Sender: VM-RUMMYWIN,Hinglish,Phishing,156,True,https://rummy-win-demo.example/claim,rummy-win-demo.example,156,17,0,1,1,1,0,5,17
