SMS_Text,Language,Label
सूचना: आपके खाते का KYC चरण पूरा नहीं हुआ है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। मांगी गई राशि ₹499 है।,Hindi,Phishing
"आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें।",Hindi,Phishing
कृपया ध्यान दें — बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Phishing
आपकी बैंक प्रोफाइल में एक असंगति मिली है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify सेवा अनुरोध की स्थिति बाद में भी देखी जा सकती है।,Hindi,Phishing
सूचना: डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹499 है। https://account-review.example/confirm,Hindi,Phishing
आपके खाते का KYC चरण पूरा नहीं हुआ है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। संदर्भ: [CASE_ID] http://kyc-alert.example/update,Hindi,Phishing
बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://upi-support.example/resolve,Hindi,Phishing
आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://parcel-status.example/address,Hindi,Phishing
बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹499 है। http://reward-center.example/claim,Hindi,Phishing
सूचना: आपकी बैंक प्रोफाइल में एक असंगति मिली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। https://job-selection.example/document,Hindi,Phishing
डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सेवा सीमित होने से पहले खाते की पुष्टि करें। https://card-security.example/review अधिक जानकारी के लिए आधिकारिक सेवा चैनल देखें।,Hindi,Phishing
"कृपया ध्यान दें — आपके खाते का KYC चरण पूरा नहीं हुआ है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। http://utility-notice.example/pay",Hindi,Phishing
बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। संदर्भ: [ORDER_ID] मांगी गई राशि ₹499 है। https://profile-access.example/recover,Hindi,Phishing
आपकी ग्राहक details की समय-सीमा समाप्त होने वाली है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify सेवा अनुरोध की स्थिति बाद में भी देखी जा सकती है।,Hindi,Phishing
सूचना: बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Phishing
आपकी बैंक प्रोफाइल में एक असंगति मिली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Phishing
डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹499 है।,Hindi,Phishing
आपके खाते का KYC चरण पूरा नहीं हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है।,Hindi,Phishing
बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Phishing
सूचना: आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
"सूचना: आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹3,499 है।",Hindi,Phishing
एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Phishing
आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Phishing
"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹3,499 है। https://account-review.example/confirm",Hindi,Phishing
सूचना: भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। http://kyc-alert.example/update,Hindi,Phishing
आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। अभी दिए गए सत्यापन चरण को पूरा करें। https://upi-support.example/resolve किसी अनजान नंबर पर प्रतिक्रिया न दें।,Hindi,Phishing
एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। संदर्भ: [TXN_ID] https://parcel-status.example/address,Hindi,Phishing
"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। मांगी गई राशि ₹3,499 है। http://reward-center.example/claim",Hindi,Phishing
कृपया ध्यान दें — एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://job-selection.example/document,Hindi,Phishing
सूचना: आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://card-security.example/review,Hindi,Phishing
भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://utility-notice.example/pay,Hindi,Phishing
"आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। मांगी गई राशि ₹3,499 है। https://profile-access.example/recover",Hindi,Phishing
एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Phishing
"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। संदर्भ: [REF_ID]",Hindi,Phishing
सूचना: एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Phishing
"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। अभी दिए गए सत्यापन चरण को पूरा करें। मांगी गई राशि ₹3,499 है।",Hindi,Phishing
भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Phishing
कृपया ध्यान दें — आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Phishing
एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है।,Hindi,Phishing
"सूचना: आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹3,499 है।",Hindi,Phishing
एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। संदर्भ: [APPLICATION_ID],Hindi,Phishing
आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Phishing
"आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹3,499 है। https://account-review.example/confirm",Hindi,Phishing
सूचना: एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। http://kyc-alert.example/update,Hindi,Phishing
आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अभी दिए गए सत्यापन चरण को पूरा करें। https://upi-support.example/resolve किसी अनजान नंबर पर प्रतिक्रिया न दें।,Hindi,Phishing
कृपया ध्यान दें — एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। https://parcel-status.example/address,Hindi,Phishing
"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। संदर्भ: [CASE_ID] मांगी गई राशि ₹3,499 है। http://reward-center.example/claim",Hindi,Phishing
भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://job-selection.example/document,Hindi,Phishing
सूचना: आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://card-security.example/review,Hindi,Phishing
एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://utility-notice.example/pay,Hindi,Phishing
"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। मांगी गई राशि ₹3,499 है। https://profile-access.example/recover",Hindi,Phishing
एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify अनुरोध की स्थिति जांचने के लिए आधिकारिक चैनल का उपयोग करें.,Hindi,Phishing
"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें।",Hindi,Phishing
सूचना: भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Phishing
सूचना: आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹499 है।,Hindi,Phishing
मोबाइल सत्यापन अनुरोध अभी पूरा नहीं हुआ है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Phishing
आपके प्रोफाइल पर सुरक्षा पुष्टि की समय-सीमा नजदीक है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
एक नए डिवाइस से खाते तक पहुंच का प्रयास मिला है। सेवा सीमित होने से पहले खाते की पुष्टि करें।,Hindi,Phishing
"आपके लॉगिन सत्र के लिए अतिरिक्त पुष्टि मांगी गई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹499 है।",Hindi,Phishing
सूचना: खाता पुनर्प्राप्ति अनुरोध आपकी जानकारी से जोड़ा गया है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Phishing
आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। अभी दिए गए सत्यापन चरण को पूरा करें। आपके रिकॉर्ड में यह सूचना सुरक्षित रहेगी।,Hindi,Phishing
मोबाइल verification अनुरोध अभी पूरा नहीं हुआ है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। संदर्भ: [ORDER_ID] hxxp://secure-check.example/verify,Hindi,Phishing
आपके प्रोफाइल पर सुरक्षा पुष्टि की समय-सीमा नजदीक है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। मांगी गई राशि ₹499 है। https://account-review.example/confirm,Hindi,Phishing
कृपया ध्यान दें — एक नए डिवाइस से खाते तक पहुंच का प्रयास मिला है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। http://kyc-alert.example/update,Hindi,Phishing
सूचना: आपके लॉगिन सत्र के लिए अतिरिक्त पुष्टि मांगी गई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://upi-support.example/resolve,Hindi,Phishing
खाता पुनर्प्राप्ति अनुरोध आपकी जानकारी से जोड़ा गया है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। https://parcel-status.example/address,Hindi,Phishing
आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। मांगी गई राशि ₹499 है। http://reward-center.example/claim,Hindi,Phishing
मोबाइल सत्यापन अनुरोध अभी पूरा नहीं हुआ है। सेवा सीमित होने से पहले खाते की पुष्टि करें। https://job-selection.example/document संदर्भ उपलब्ध होने पर उसे सुरक्षित रखें।,Hindi,Phishing
"आपके प्रोफाइल पर सुरक्षा पुष्टि की समय-सीमा नजदीक है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। संदर्भ: [TXN_ID] https://card-security.example/review",Hindi,Phishing
सूचना: एक नए डिवाइस से खाते तक पहुंच का प्रयास मिला है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। http://utility-notice.example/pay,Hindi,Phishing
आपके लॉगिन सत्र के लिए अतिरिक्त पुष्टि मांगी गई है। अभी दिए गए सत्यापन चरण को पूरा करें। मांगी गई राशि ₹499 है। https://profile-access.example/recover,Hindi,Phishing
account पुनर्प्राप्ति अनुरोध आपकी details से जोड़ा गया है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। hxxp://secure-check.example/verify,Hindi,Phishing
कृपया ध्यान दें — आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Phishing
मोबाइल सत्यापन अनुरोध अभी पूरा नहीं हुआ है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है।,Hindi,Phishing
सूचना: आपके प्रोफाइल पर सुरक्षा पुष्टि की समय-सीमा नजदीक है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹499 है।,Hindi,Phishing
एक नए डिवाइस से खाते तक पहुंच का प्रयास मिला है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। संदर्भ: [REF_ID],Hindi,Phishing
आपके लॉगिन सत्र के लिए अतिरिक्त पुष्टि मांगी गई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
खाता पुनर्प्राप्ति अनुरोध आपकी जानकारी से जोड़ा गया है। सेवा सीमित होने से पहले खाते की पुष्टि करें। संदर्भ उपलब्ध होने पर उसे सुरक्षित रखें।,Hindi,Phishing
"आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹499 है।",Hindi,Phishing
सूचना: मोबाइल सत्यापन अनुरोध अभी पूरा नहीं हुआ है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Phishing
आपके प्रोफाइल पर सुरक्षा पुष्टि की समय-सीमा नजदीक है। अभी दिए गए सत्यापन चरण को पूरा करें। आपके रिकॉर्ड में यह सूचना सुरक्षित रहेगी।,Hindi,Phishing
"सूचना: आपके कार्ड रिकॉर्ड में सुरक्षा समीक्षा लंबित है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹1,999 है। hxxp://secure-check.example/verify",Hindi,Phishing
कार्ड सेवा ने आपके प्रोफाइल में एक असामान्य बदलाव चिन्हित किया है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://account-review.example/confirm,Hindi,Phishing
आपके डेबिट कार्ड की ऑनलाइन सुविधा के लिए पुनः पुष्टि मांगी गई है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://kyc-alert.example/update,Hindi,Phishing
कार्ड सत्यापन प्रक्रिया पूरी नहीं हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। https://upi-support.example/resolve,Hindi,Phishing
"आपके कार्ड पर एक संदिग्ध भुगतान प्रयास दर्ज हुआ है। सेवा सीमित होने से पहले खाते की पुष्टि करें। मांगी गई राशि ₹1,999 है। https://parcel-status.example/address",Hindi,Phishing
"सूचना: आपकी कार्ड प्रोफाइल की सुरक्षा जांच बाकी है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। http://reward-center.example/claim",Hindi,Phishing
आपके कार्ड रिकॉर्ड में सुरक्षा समीक्षा लंबित है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। https://job-selection.example/document,Hindi,Phishing
कार्ड सेवा ने आपके प्रोफाइल में एक असामान्य बदलाव चिन्हित किया है। अभी दिए गए सत्यापन चरण को पूरा करें। संदर्भ: [APPLICATION_ID] https://card-security.example/review,Hindi,Phishing
"आपके डेबिट कार्ड की ऑनलाइन सुविधा के लिए पुनः पुष्टि मांगी गई है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹1,999 है। http://utility-notice.example/pay",Hindi,Phishing
कृपया ध्यान दें — कार्ड सत्यापन प्रक्रिया पूरी नहीं हुई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। https://profile-access.example/recover,Hindi,Phishing
सूचना: आपके कार्ड पर एक संदिग्ध भुगतान प्रयास दर्ज हुआ है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। hxxp://secure-check.example/verify,Hindi,Phishing
आपकी कार्ड प्रोफाइल की सुरक्षा जांच बाकी है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है।,Hindi,Phishing
"आपके कार्ड रिकॉर्ड में सुरक्षा समीक्षा लंबित है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹1,999 है।",Hindi,Phishing
कार्ड सेवा ने आपके प्रोफाइल में एक असामान्य बदलाव चिन्हित किया है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Phishing
आपके डेबिट कार्ड की ऑनलाइन सुविधा के लिए पुनः पुष्टि मांगी गई है। सेवा सीमित होने से पहले खाते की पुष्टि करें। संदर्भ: [CASE_ID],Hindi,Phishing
"सूचना: कार्ड verification प्रक्रिया पूरी नहीं हुई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें।",Hindi,Phishing
"आपके कार्ड पर एक संदिग्ध भुगतान प्रयास दर्ज हुआ है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। मांगी गई राशि ₹1,999 है।",Hindi,Phishing
आपकी कार्ड प्रोफाइल की सुरक्षा जांच बाकी है। अभी दिए गए सत्यापन चरण को पूरा करें। अधिक जानकारी के लिए आधिकारिक सेवा चैनल देखें।,Hindi,Phishing
कृपया ध्यान दें — आपके कार्ड रिकॉर्ड में सुरक्षा समीक्षा लंबित है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Phishing
कार्ड सेवा ने आपके प्रोफाइल में एक असामान्य बदलाव चिन्हित किया है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Phishing
"सूचना: आपके डेबिट कार्ड की ऑनलाइन सुविधा के लिए पुनः पुष्टि मांगी गई है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹1,999 है। hxxp://secure-check.example/verify",Hindi,Phishing
कार्ड सत्यापन प्रक्रिया पूरी नहीं हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। संदर्भ: [ORDER_ID] https://account-review.example/confirm,Hindi,Phishing
आपके कार्ड पर एक संदिग्ध भुगतान प्रयास दर्ज हुआ है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://kyc-alert.example/update,Hindi,Phishing
"सूचना: आपकी आधार-लिंक सेवा के रिकॉर्ड में पुनः सत्यापन आवश्यक है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹1,240 है। https://upi-support.example/resolve",Hindi,Phishing
DigiLocker प्रोफाइल पर पहचान जांच लंबित दिखाई गई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। https://parcel-status.example/address,Hindi,Phishing
सरकारी सेवा आवेदन के लिए अतिरिक्त पहचान पुष्टि मांगी गई है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। http://reward-center.example/claim,Hindi,Phishing
आपके डिजिटल दस्तावेज खाते की स्थिति की समीक्षा जरूरी बताई गई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://job-selection.example/document,Hindi,Phishing
"आधिकारिक सेवा रिकॉर्ड में पहचान विवरण अपडेट मांगा गया है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹1,240 है। https://card-security.example/review",Hindi,Phishing
