label,language,text
Legitimate,English,Reward history updated successfully following your recent transaction. Check the Rewards section in the app for details.
Legitimate,English,A promotional reward has been added to your account. Open the official app to view the offer and its terms.
Legitimate,Hindi,आपके हाल के लेन-देन के बाद लॉयल्टी पॉइंट्स का बैलेंस अपडेट हो गया है। जानकारी आधिकारिक ऐप में देखें।
Legitimate,Hindi,कैशबैक आपके खाते में पहले ही जमा हो चुका है। इसकी जानकारी आधिकारिक ऐप में देख सकते हैं।
Legitimate,Hindi,आपके हाल के ऑर्डर पर लॉयल्टी पॉइंट्स मिले हैं और रिवॉर्ड हिस्ट्री अपडेट कर दी गई है।
Legitimate,Hindi,आपका कैशबैक आधिकारिक ऐप के Rewards सेक्शन में दिखाई दे रहा है। किसी कार्रवाई की जरूरत नहीं है।
Legitimate,Hindi,आपके रिवॉर्ड पॉइंट्स का रिकॉर्ड अपडेट हो गया है। नए बैलेंस की जानकारी ऐप में उपलब्ध है।
Legitimate,Hindi,एक प्रमोशनल रिवॉर्ड आपके खाते में जोड़ा गया है। ऑफर की शर्तें आधिकारिक ऐप में देखें।
Legitimate,Kannada,ನಿಮ್ಮ ಇತ್ತೀಚಿನ ಖರೀದಿಯ ನಂತರ ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟ್‌ಗಳ ಬ್ಯಾಲೆನ್ಸ್ ಅಪ್‌ಡೇಟ್ ಆಗಿದೆ. ಅಧಿಕೃತ ಆ್ಯಪ್‌ನಲ್ಲಿ ನೋಡಿ.
Legitimate,Kannada,ಕ್ಯಾಶ್‌ಬ್ಯಾಕ್ ಈಗಾಗಲೇ ನಿಮ್ಮ ಖಾತೆಗೆ ಜಮಾ ಆಗಿದೆ. ವ್ಯವಹರದ ವಿವರಗಳನ್ನು ಅಧಿಕೃತ ಆ್ಯಪ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಿ.
Legitimate,Kannada,ನಿಮ್ಮ ಇತ್ತೀಚಿನ ಆರ್ಡರ್‌ಗೆ ರಿವಾರ್ಡ್ ಪಾಯಿಂಟ್‌ಗಳು ಲಭಿಸಿವೆ ಮತ್ತು ರಿವಾರ್ಡ್ ಹಿಸ್ಟರಿ ಅಪ್‌ಡೇಟ್ ಆಗಿದೆ.
Legitimate,Kannada,ನಿಮ್ಮ ಕ್ಯಾಶ್‌ಬ್ಯಾಕ್ ಅಧಿಕೃತ ಆ್ಯಪ್‌ನ Rewards ವಿಭಾಗದಲ್ಲಿ ಕಾಣಿಸುತ್ತಿದೆ. ಯಾವುದೇ ಕ್ರಮ ಅಗತ್ಯವಿಲ್ಲ.
Legitimate,Kannada,ನಿಮ್ಮ ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟ್‌ಗಳ ದಾಖಲೆ ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ. ಹೊಸ ಬ್ಯಾಲೆನ್ಸ್ ಅನ್ನು ಆ್ಯಪ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಿ.
Legitimate,Kannada,ಪ್ರಚಾರದ ರಿವಾರ್ಡ್ ನಿಮ್ಮ ಖಾತೆಗೆ ಸೇರಿಸಲಾಗಿದೆ. ಆಫರ್ ವಿವರಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಅಧಿಕೃತ ಆ್ಯಪ್‌ನಲ್ಲಿ ನೋಡಿ.
Legitimate,Hinglish,Aapke latest purchase ke baad loyalty points balance update ho gaya hai. Official app mein naya balance dekhein.
Legitimate,Hinglish,Cashback already aapke account mein credit ho chuka hai. Details official app ke transaction section mein milengi.
Legitimate,Hinglish,Recent order par aapko loyalty points mile hain aur reward history update ho gayi hai.
Legitimate,Hinglish,Aapka cashback official app ke Rewards section mein reflect ho raha hai. Koi action required nahi hai.
Legitimate,Hinglish,Aapke reward points ka updated record ab app mein available hai. Latest balance wahan check kar sakte hain.
Legitimate,Hinglish,Ek promotional reward aapke account mein add hua hai. Offer ki details official app mein dekhein.
Legitimate,Konglish,Nimma latest purchase aadmele loyalty points balance update aagide. Official app alli check maadi.
Legitimate,Konglish,Cashback already nimma account-ge credit aagide. Transaction details official app alli nodabahudu.
Legitimate,Konglish,Recent order-ge reward points sigive mattu reward history update aagide.
Legitimate,Konglish,Nimma cashback official app-na Rewards section alli reflect aaguttide. Yavude action bekaagilla.
Legitimate,Konglish,Loyalty points-na latest balance update aagide. Hosa points details app alli available ide.
Legitimate,Konglish,Promotional reward nimma account-ge add aagide. Offer-na terms mattu details official app alli nodi.
