"Sample_ID","Category","SMS_Text","Language","Label"
"SD0066","Electricity Bill Scams","WBSEDCL Alert: Outstanding electricity dues detected. Pay within 3 hours to avoid power disconnection: https://wbsedcl-pay.example/pay Helpline: +91-9800445566","English","Phishing"
"SD0067","Electricity Bill Scams","Your electricity meter reading shows excessive usage. Bill revised to Rs.4500. Pay now: http://metered-bill-demo.example/revised Sender: VM-ELECBOARD","English","Phishing"
"SD0068","Electricity Bill Scams","TANGEDCO final notice: Pay electricity bill of Rs.980 within 1 hour to prevent outage: https://tangedco-pay.example/urgent Support: +91-9900556677","English","Phishing"
"SD0069","Electricity Bill Scams","Bijli bill mafi scheme! Sirf Rs.50 pay karein aur baaki bill maaf ho jayega. Apply karein: http://billmafi-demo.example/apply Sender: AD-SCHEME","Hinglish","Phishing"
"SD0070","Electricity Bill Scams","URGENT: Your prepaid electricity meter balance is critically low. Recharge immediately to prevent power cut: https://prepaid-elec.example/recharge Helpline: +91-9822556677","English","Phishing"
"SD0071","Lottery/Reward Scams","Congratulations! You have won Rs.25 Lakh in KBC Lucky Draw 2025. Claim your prize now: https://kbc-prize-demo.example/claim Sender: VM-KBCLUCKY","English","Phishing"
"SD0072","Lottery/Reward Scams","Dear Winner, Your mobile number was selected in Jio Lucky Draw. Prize: Rs.50000. Claim: http://jiolucky-demo.example/win Helpline: +91-9900112200","English","Phishing"
"SD0073","Lottery/Reward Scams","Badhai ho! Aapka number Google Lucky Draw mein select hua. Rs.1 Lakh jeete. Abhi claim karein: https://googlelucky-demo.example/claim","Hinglish","Phishing"
"SD0074","Lottery/Reward Scams","ALERT: You have won a Samsung Galaxy phone in our prize draw. Collect within 48 hours: https://prize-collect.example/samsung Sender: AD-PRIZEDRAW","English","Phishing"
"SD0075","Lottery/Reward Scams","Your number won Rs.10 Lakh in the National Lottery 2025. Pay Rs.500 processing fee to claim: http://natlottery-demo.example/claim Support: +91-9811000011","English","Phishing"
"SD0076","Lottery/Reward Scams","Aapne Amazon Spin & Win mein Rs.75000 jeete hain! Claim karne ke liye abhi yahan click karein: https://amazon-spinwin.example/claim Sender: VM-AMAZONSPIN","Hinglish","Phishing"
"SD0077","Lottery/Reward Scams","WINNER NOTICE: Your SIM number selected in TRAI lucky draw. Prize Rs.15000. Verify to claim: https://trai-lucky.example/verify Helpline: +91-9988334400","English","Phishing"
"SD0078","Lottery/Reward Scams","Exclusive: You earned 50000 reward points on your shopping. Redeem before expiry tonight: https://rewardpoints-demo.example/redeem Sender: AD-REWARDPAY","English","Phishing"
"SD0079","Lottery/Reward Scams","Lucky Customer! Aap Flipkart Diwali Lucky Draw ke winner hain. Rs.2 Lakh ka prize aapka intezaar kar raha hai: http://flipkart-lucky.example/prize","Hinglish","Phishing"
"SD0080","Lottery/Reward Scams","Congratulations! You've been selected for a free trip to Dubai. Confirm details within 12 hours: https://dubaitrip-demo.example/confirm Support: +91-9800200300","English","Phishing"
"SD0081","Lottery/Reward Scams","PRIZE ALERT: Rs.5 Lakh lottery amount approved in your name. To receive, pay Rs.999 token fee: https://prizetransfer-demo.example/fee Sender: VM-LOTTERYIND","English","Phishing"
"SD0082","Lottery/Reward Scams","Aapka WhatsApp number ek international lottery mein winner raha. $5000 claim karne ke liye click karein: http://intl-lottery-demo.example/claim","Hinglish","Phishing"
"SD0083","Lottery/Reward Scams","BSNL Monsoon Offer: You've won a free smartphone! Redeem by registering here: https://bsnl-prize.example/redeem Helpline: +91-9900002233 Sender: AD-BSNLWIN","English","Phishing"
"SD0084","Lottery/Reward Scams","Your Paytm account has received a cashback voucher of Rs.5000. Redeem before it expires: https://paytm-voucher.example/redeem Sender: VM-PAYTMRWD","English","Phishing"
"SD0085","Lottery/Reward Scams","Sirf aaj ke liye! Aapne Rs.1 Lakh ka bonus jeeta. Claim karne ke liye yahan click karein: https://bonus-claim-demo.example/claim Sender: AD-LUCKYWIN","Hinglish","Phishing"
"SD0086","Lottery/Reward Scams","Congrats! RBI Lottery Board has approved Rs.30 Lakh in your name. Contact agent to process: http://rbilottery-demo.example/process Support: +91-9811556677","English","Phishing"
"SD0087","Lottery/Reward Scams","You are today's lucky winner of the Airtel Rewards Program! Claim Rs.3000 here: https://airtel-rewards.example/claim Helpline: +91-9822113344 Sender: VM-AIRTELRWD","English","Phishing"
"SD0088","Lottery/Reward Scams","SPECIAL OFFER: Scratch and win! You won Rs.8500. Submit your bank details to receive: http://scratchwingame.example/submit Sender: AD-SCRATCHWIN","English","Phishing"
"SD0089","Lottery/Reward Scams","Vijeta! Aapko ek iPhone 15 jeeta hai. Delivery ke liye Rs.299 shipping charge pay karein: https://iphone-prize-demo.example/shipping","Hinglish","Phishing"
"SD0090","Lottery/Reward Scams","NOTICE: Unclaimed lottery prize of Rs.12 Lakh in your name. Last date to claim today. Visit: https://unclaimedprize-demo.example/claim Helpline: +91-9900445566","English","Phishing"
"SD0091","Social Media Account Scams","ALERT: Your Instagram account has been flagged for violation. Verify within 24 hours or it will be permanently deleted: https://insta-verify-demo.example/verify Sender: VM-INSTASEC","English","Phishing"
"SD0092","Social Media Account Scams","Dear User, Your Facebook account login was attempted from an unknown device. Secure your account now: https://fb-secure-demo.example/lock Helpline: +91-9811220033","English","Phishing"
"SD0093","Social Media Account Scams","Aapka WhatsApp account suspend hone wala hai. Abhi verify karein: http://wa-verify-demo.example/confirm Sender: AD-WASUPPORT","Hinglish","Phishing"
"SD0094","Social Media Account Scams","Twitter/X ALERT: Unusual login to your account from a new IP. Confirm it was you: https://x-login-demo.example/confirm Sender: VM-XSUPPORT","English","Phishing"
"SD0095","Social Media Account Scams","Your YouTube channel monetisation has been paused. Verify your account to restore: https://yt-monetize-demo.example/restore Support: +91-9900887766","English","Phishing"
"SD0096","Social Media Account Scams","Aapke Facebook page ko copyright violation ki wajah se band kiya ja raha hai. Appeal karein: https://fb-appeal-demo.example/appeal Sender: AD-FBHELP","Hinglish","Phishing"
"SD0097","Social Media Account Scams","URGENT: Your Telegram account will be deactivated due to suspicious activity. Re-verify immediately: http://tg-secure-demo.example/verify Helpline: +91-9988001100","English","Phishing"
"SD0098","Social Media Account Scams","LinkedIn Security Alert: Your profile was accessed from an unknown location. Secure your account: https://linkedin-secure.example/secure Sender: VM-LKDNSEC","English","Phishing"
"SD0099","Social Media Account Scams","Aapka Instagram blue tick remove ho sakta hai. Abhi verify karein: https://insta-bluetick.example/verify Sender: AD-INSTASUP","Hinglish","Phishing"
"SD0100","Social Media Account Scams","NOTICE: Your Snapchat account is under review for community guideline violations. Respond within 12 hours: https://snap-review-demo.example/respond Support: +91-9822003344","English","Phishing"
