Sample_ID,SMS_Text,Language,Script,Label,Scam_Category,URL,Sender_Type,Source_Type,Source,Notes
HIN-P-0019,कृपया ध्यान दें — बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Devanagari,Phishing,Banking / KYC,,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0020,आपकी बैंक प्रोफाइल में एक असंगति मिली है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify सेवा अनुरोध की स्थिति बाद में भी देखी जा सकती है।,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,hxxp://secure-check.example/verify,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0021,सूचना: डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹499 है। https://account-review.example/confirm,Hindi,Devanagari,Phishing,Banking / KYC,https://account-review.example/confirm,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0022,आपके खाते का KYC चरण पूरा नहीं हुआ है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। संदर्भ: [CASE_ID] http://kyc-alert.example/update,Hindi,Devanagari,Phishing,Banking / KYC,http://kyc-alert.example/update,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0023,बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://upi-support.example/resolve,Hindi,Devanagari,Phishing,Banking / KYC,https://upi-support.example/resolve,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0024,आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://parcel-status.example/address,Hindi,Devanagari,Phishing,Banking / KYC,https://parcel-status.example/address,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0025,बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹499 है। http://reward-center.example/claim,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,http://reward-center.example/claim,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0026,सूचना: आपकी बैंक प्रोफाइल में एक असंगति मिली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। https://job-selection.example/document,Hindi,Devanagari,Phishing,Banking / KYC,https://job-selection.example/document,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0027,डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सेवा सीमित होने से पहले खाते की पुष्टि करें। https://card-security.example/review अधिक जानकारी के लिए आधिकारिक सेवा चैनल देखें।,Hindi,Devanagari,Phishing,Banking / KYC,https://card-security.example/review,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0028,"कृपया ध्यान दें — आपके खाते का KYC चरण पूरा नहीं हुआ है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। http://utility-notice.example/pay",Hindi,Devanagari,Phishing,Banking / KYC,http://utility-notice.example/pay,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
HIN-P-0029,बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। संदर्भ: [ORDER_ID] मांगी गई राशि ₹499 है। https://profile-access.example/recover,Hindi,Devanagari,Phishing,Banking / KYC,https://profile-access.example/recover,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0030,आपकी ग्राहक details की समय-सीमा समाप्त होने वाली है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify सेवा अनुरोध की स्थिति बाद में भी देखी जा सकती है।,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,hxxp://secure-check.example/verify,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0031,सूचना: बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Devanagari,Phishing,Banking / KYC,,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0032,आपकी बैंक प्रोफाइल में एक असंगति मिली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Devanagari,Phishing,Banking / KYC,,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0033,डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹499 है।,Hindi,Devanagari,Phishing,Banking / KYC,,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0034,आपके खाते का KYC चरण पूरा नहीं हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है।,Hindi,Romanized Hindi / Hinglish,Phishing,Banking / KYC,,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0035,बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0036,सूचना: आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Devanagari,Phishing,Banking / KYC,,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0037,"सूचना: आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹3,499 है।",Hindi,Devanagari,Phishing,UPI / Digital Payments,,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0038,एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0039,आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0040,एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,hxxp://secure-check.example/verify,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0041,"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹3,499 है। https://account-review.example/confirm",Hindi,Devanagari,Phishing,UPI / Digital Payments,https://account-review.example/confirm,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0042,सूचना: भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। http://kyc-alert.example/update,Hindi,Devanagari,Phishing,UPI / Digital Payments,http://kyc-alert.example/update,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0043,आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। अभी दिए गए सत्यापन चरण को पूरा करें। https://upi-support.example/resolve किसी अनजान नंबर पर प्रतिक्रिया न दें।,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://upi-support.example/resolve,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0044,एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। संदर्भ: [TXN_ID] https://parcel-status.example/address,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://parcel-status.example/address,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0045,"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। मांगी गई राशि ₹3,499 है। http://reward-center.example/claim",Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,http://reward-center.example/claim,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
HIN-P-0046,कृपया ध्यान दें — एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://job-selection.example/document,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://job-selection.example/document,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0047,सूचना: आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://card-security.example/review,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://card-security.example/review,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0048,भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://utility-notice.example/pay,Hindi,Devanagari,Phishing,UPI / Digital Payments,http://utility-notice.example/pay,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0049,"आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। मांगी गई राशि ₹3,499 है। https://profile-access.example/recover",Hindi,Devanagari,Phishing,UPI / Digital Payments,https://profile-access.example/recover,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0050,एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,hxxp://secure-check.example/verify,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0051,"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। संदर्भ: [REF_ID]",Hindi,Romanized Hindi / Hinglish,Phishing,UPI / Digital Payments,,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0052,सूचना: एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0053,"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। अभी दिए गए सत्यापन चरण को पूरा करें। मांगी गई राशि ₹3,499 है।",Hindi,Devanagari,Phishing,UPI / Digital Payments,,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0054,भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0055,कृपया ध्यान दें — आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
HIN-P-0056,एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0057,"सूचना: आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹3,499 है।",Hindi,Devanagari,Phishing,UPI / Digital Payments,,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0058,एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। संदर्भ: [APPLICATION_ID],Hindi,Devanagari,Phishing,UPI / Digital Payments,,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0059,आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0060,भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify,Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,hxxp://secure-check.example/verify,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0061,"आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। मांगी गई राशि ₹3,499 है। https://account-review.example/confirm",Hindi,Devanagari,Phishing,UPI / Digital Payments,https://account-review.example/confirm,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0062,सूचना: एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। http://kyc-alert.example/update,Hindi,Devanagari,Phishing,UPI / Digital Payments,http://kyc-alert.example/update,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0063,आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अभी दिए गए सत्यापन चरण को पूरा करें। https://upi-support.example/resolve किसी अनजान नंबर पर प्रतिक्रिया न दें।,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://upi-support.example/resolve,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0064,कृपया ध्यान दें — एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। https://parcel-status.example/address,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://parcel-status.example/address,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0065,"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। संदर्भ: [CASE_ID] मांगी गई राशि ₹3,499 है। http://reward-center.example/claim",Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,http://reward-center.example/claim,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
HIN-P-0066,भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://job-selection.example/document,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://job-selection.example/document,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0067,सूचना: आपके UPI प्रोफाइल पर एक सुरक्षा जांच शुरू हुई है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://card-security.example/review,Hindi,Devanagari,Phishing,UPI / Digital Payments,https://card-security.example/review,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0068,एक UPI लेनदेन को अतिरिक्त पुष्टि की जरूरत बताई गई है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। http://utility-notice.example/pay,Hindi,Romanized Hindi / Hinglish,Phishing,UPI / Digital Payments,http://utility-notice.example/pay,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0069,"आपकी UPI सुविधा में असामान्य गतिविधि दर्ज हुई है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। मांगी गई राशि ₹3,499 है। https://profile-access.example/recover",Hindi,Devanagari,Phishing,UPI / Digital Payments,https://profile-access.example/recover,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0070,एक डिजिटल भुगतान अनुरोध आपके नाम से लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। hxxp://secure-check.example/verify अनुरोध की स्थिति जांचने के लिए आधिकारिक चैनल का उपयोग करें.,Hindi,Devanagari + English code-switching,Phishing,UPI / Digital Payments,hxxp://secure-check.example/verify,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0071,"आपका UPI रिफंड प्रोसेस होने से पहले पुष्टि मांग रहा है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें।",Hindi,Devanagari,Phishing,UPI / Digital Payments,,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0072,सूचना: भुगतान सेवा ने आपके UPI खाते की समीक्षा चिन्हित की है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है।,Hindi,Devanagari,Phishing,UPI / Digital Payments,,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0073,सूचना: आपके खाते में एक नया साइन-इन प्रयास दर्ज हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। मांगी गई राशि ₹499 है।,Hindi,Devanagari,Phishing,OTP / Account Takeover,,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0074,मोबाइल सत्यापन अनुरोध अभी पूरा नहीं हुआ है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है।,Hindi,Devanagari,Phishing,OTP / Account Takeover,,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
