"Sample_ID","Category","SMS_Text","Language","Label"
"SD0162","Social Media Account Scams","Discord Security: Unusual login detected from new region. Confirm it was you or your account will be locked: https://discord-secure-demo.example/confirm","English","Phishing"
"SD0163","Gambling/Gaming Scams","Aapka MPL game account mein Rs.14,500 ka bonus locked hai. Unlock karne ke liye verify karein: https://mpl-bonus-demo.example/unlock Sender: AD-MPLBONUS","Hinglish","Phishing"
"SD0164","Gambling/Gaming Scams","BIG WIN ALERT: Your slot machine spin earned Rs.40,000. Withdraw before offer expires: http://slotwin-demo.example/withdraw Helpline: +91-9900778811","English","Phishing"
"SD0165","Gambling/Gaming Scams","Aapko Satta King result ke according Rs.60,000 jeetne ki notification mili hai. Claim form bharein: https://sattaresult-demo.example/claimform","Hinglish","Phishing"
"SD0166","Gambling/Gaming Scams","Dear Member, your online poker account shows unsettled winnings of Rs.27,800. Settle now: https://pokeraccount-demo.example/settle Sender: VM-POKERSETTLE","English","Phishing"
"SD0167","Gambling/Gaming Scams","Aapka Rummy Circle wallet verification ke bina freeze ho gaya hai withdrawal ke liye. Verify karein: http://rummycircle-freeze.example/verify","Hinglish","Phishing"
"SD0168","Gambling/Gaming Scams","Lucky Draw Casino: You've been selected for a free Rs.3000 chip bonus. Claim within 6 hours: https://luckycasino-demo.example/claim Helpline: +91-9811998822","English","Phishing"
"SD0169","Gambling/Gaming Scams","Aapke Dream11 referral se Rs.9000 ka bonus aaya hai pending verification. Abhi complete karein: https://dream-referral.example/complete Sender: AD-DREAMREF","Hinglish","Phishing"
"SD0170","Gambling/Gaming Scams","WINNER: Your fantasy football team won the mega contest, prize Rs.85,000 awaiting claim: http://fantasyfootball-prize.example/claim","English","Phishing"
"SD0171","Gambling/Gaming Scams","Aapka online cricket betting account suspend hone wala hai pending KYC ki wajah se. Verify abhi: https://cricbet-kycverify.example/verify Sender: VM-CRICBET","Hinglish","Phishing"
"SD0172","Gambling/Gaming Scams","Teen Patti Live: Free Rs.1500 joining bonus credited. Login to claim before it expires: https://teenpattilive-demo.example/login Helpline: +91-9822556677","English","Phishing"
"SD0173","Electricity Bill Scams","Aapka solar subsidy bill electricity board mein pending hai. Claim karne ke liye verify karein: https://solarbill-demo.example/verify Sender: AD-SOLARSUBSIDY","Hinglish","Phishing"
"SD0174","Electricity Bill Scams","Dear Customer, your smart meter installation fee is overdue. Pay Rs.350 to avoid service disruption: http://smartmeter-fee.example/pay Helpline: +91-9900334411","English","Phishing"
"SD0175","Electricity Bill Scams","URGENT: PSPCL bill payment bounce hua hai. Turant pay karein avoid disconnection: https://pspcl-bouncepay.example/pay","Hinglish","Phishing"
"SD0176","Electricity Bill Scams","Notice: Your UPPCL account shows excess billing refund of Rs.890. Claim refund here: https://uppcl-refund-demo.example/claim Sender: VM-UPPCLREFUND","English","Phishing"
"SD0177","Electricity Bill Scams","Aapka WBSEDCL connection disconnect hone wala hai aaj raat 10 baje. Abhi bill clear karein: http://wbsedcl-clear.example/clear Helpline: +91-9877223300","Hinglish","Phishing"
"SD0178","Electricity Bill Scams","Final Disconnection Notice: Pay your pending dues of Rs.1,780 within 3 hours: https://duespay-final.example/pay Sender: AD-DUESFINAL","English","Phishing"
"SD0179","Electricity Bill Scams","Aapke ghar ka electricity meter reading galat upload hui hai. Correction ke liye verify karein: https://meterreading-correct.example/verify","Hinglish","Phishing"
"SD0180","Electricity Bill Scams","Power Grid Maintenance Notice: Avoid disconnection during maintenance by clearing dues now: http://powergrid-maint.example/cleardues Helpline: +91-9811667722","English","Phishing"
"SD0181","Lottery/Reward Scams","CONGRATULATIONS! Aapka number Coca-Cola lucky draw mein select hua hai Rs.8,00,000 prize ke liye. Claim karein: https://cocacola-luckydraw.example/claim Sender: VM-COCALUCKY","Hinglish","Phishing"
"SD0182","Lottery/Reward Scams","You have won a brand new car in the Amazon Prime lucky customer draw! Verify details: http://amazonprime-cardraw.example/verify Helpline: +91-9900556633","English","Phishing"
"SD0183","Lottery/Reward Scams","Aapko Reliance Jio anniversary offer mein Rs.50,000 cashback mila hai. Abhi claim karein: https://jio-anniversary.example/claim","Hinglish","Phishing"
"SD0184","Lottery/Reward Scams","Notice: Your SIM number has won the international lucky draw worth $5000. Submit details to claim: https://intl-luckydraw-demo.example/submit Sender: AD-INTLDRAW","English","Phishing"
"SD0185","Lottery/Reward Scams","Aapke PAN card par Income Tax department ka refund Rs.45,600 pending hai. Claim karein: http://itrefund-claim-demo.example/claim Helpline: +91-9822667700","Hinglish","Phishing"
"SD0186","Lottery/Reward Scams","Big Billion Days Winner: You've won a Rs.1,00,000 gift voucher. Confirm shipping address: https://bigbillion-voucher.example/confirm Sender: VM-BIGBILLION","English","Phishing"
"SD0187","Lottery/Reward Scams","Aapka mobile number Vodafone lucky draw mein winner select hua hai Rs.2,50,000 ke liye. Verify karein: https://vodafone-luckywin.example/verify","Hinglish","Phishing"
"SD0188","Job Scams","Hiring Alert: Online survey job, fill 10 surveys daily earn Rs.3000. Register now: https://surveyjobs-demo.example/register Sender: AD-SURVEYJOB","English","Phishing"
"SD0189","Job Scams","Aapko ek international company se remote job offer mila hai $1500/month salary ke saath. Apply karein: http://remotejob-intl.example/apply Helpline: +91-9811334422","Hinglish","Phishing"
"SD0190","Job Scams","Dear Candidate, congratulations on clearing the first round. Pay processing fee Rs.999 to proceed: https://processfee-job.example/pay Sender: VM-JOBPROCESS","English","Phishing"
"SD0191","Job Scams","Naukri.com se aapka profile shortlist hua hai HR round ke liye. Confirm slot abhi: https://naukrishortlist-demo.example/confirm","Hinglish","Phishing"
"SD0192","Job Scams","Urgent Hiring: Customer support executive needed, work 4hrs/day, earn Rs.25000/month. Apply: http://csexecutive-job.example/apply Helpline: +91-9900778899","English","Phishing"
"SD0193","Credit Card/Loan Scams","Aapka HDFC personal loan pre-approved hai Rs.4,00,000 tak. Sirf Aadhaar se apply karein: https://hdfcloan-preapproved.example/apply Sender: AD-HDFCLOAN","Hinglish","Phishing"
"SD0194","Credit Card/Loan Scams","Your Axis Bank credit card reward points worth Rs.5000 are expiring today. Redeem now: http://axisrewards-demo.example/redeem Helpline: +91-9822334488","English","Phishing"
"SD0195","Credit Card/Loan Scams","Aapke business ke liye instant business loan Rs.10 Lakh tak approved hai bina collateral. Apply: https://bizloan-instant.example/apply","Hinglish","Phishing"
"SD0196","Credit Card/Loan Scams","NOTICE: Your Kotak credit card has been flagged for unusual transaction. Verify to unblock: https://kotakflag-demo.example/verify Sender: VM-KOTAKFLAG","English","Phishing"
"SD0197","Credit Card/Loan Scams","Aapka student education loan application approve ho gaya hai Rs.8 Lakh ke liye. Confirm karein: http://eduloan-approved.example/confirm Helpline: +91-9877001199","Hinglish","Phishing"
"SD0198","SIM/KYC Scams","Aapka Jio number ka KYC document mismatch hua hai. 24 ghante mein verify karein varna number band hoga: https://jiokyc-mismatch.example/verify Sender: AD-JIOMISMATCH","Hinglish","Phishing"
"SD0199","SIM/KYC Scams","Department of Telecom Notice: Your SIM is linked to a fraud case. Verify innocence within 12 hours: http://dot-fraudnotice.example/verify Helpline: +91-9900112255","English","Phishing"
"SD0200","SIM/KYC Scams","Aapke 5G SIM upgrade ke liye KYC verification zaroori hai. Abhi complete karein: https://5gsim-kycupgrade.example/complete Sender: VM-5GUPGRADE","Hinglish","Phishing"
