SMS_Text,target,language
A refund is waiting for confirmation — Share the requested account details to receive the amount.,1,English
Your reward is ready for collection — Complete the verification step to receive the cashback.,1,English
Update: Your bank account will be restricted today unless you confirm the pending KYC details. Keep the confirmation for your records.,1,English
SMS: A refund is waiting for confirmation. Share the requested account details to receive the amount.,1,English
Your subscription payment failed. Verify your card information to avoid cancellation.,1,English
Your card payment could not be verified. Re-enter your account details to keep the card active. Thank you. Keep the confirmation for your records.,1,English
We noticed unusual activity on your account. Confirm your identity to avoid suspension. | Service update,1,English
Your bank profile has been flagged for a security review. Confirm the requested information.,1,English
You have been shortlisted for a work-from-home role. Pay the refundable registration amount to complete joining. Please check the app for details.,1,English
Update: Your loan application is approved in principle. Submit the requested details to release the amount.,1,English
Your government benefit verification is pending. Confirm your details before the application is closed. For your records.,1,English
Your government benefit verification is pending. Confirm your details before the application is closed.,1,English
Your reward is ready for collection. Complete the verification step to receive the cashback. Thank you.,1,English
Your government benefit verification is pending. Confirm your details before the application is closed. The same update is available in your account.,1,English
Your KYC has expired — Update your information immediately to prevent banking access from being blocked. Keep the confirmation for your records.,1,English
Your account recovery request was received from an unknown device. Confirm your identity immediately. Thank you. https://service.example/check,1,English
Your subscription payment failed — Verify your card information to avoid cancellation. Please use the official app.,1,English
Your loan application is approved in principle. Submit the requested details to release the amount. Thank you. https://service.example/check,1,English
Update: We noticed unusual activity on your account. Confirm your identity to avoid suspension.,1,English
Your bank profile has been flagged for a security review — Confirm the requested information.,1,English
SMS: Your job application needs a final verification before the interview slot can be confirmed. https://service.example/check,1,English
Your parcel is being held because the delivery address could not be verified. Confirm it to continue. Thank you. https://service.example/check You can also view the latest status in the app.,1,English
SMS: Your bank profile has been flagged for a security review. Confirm the requested information. https://service.example/check,1,English
Update: Your UPI refund could not be released. Provide the required payment details to complete the request.,1,English
Your parcel is being held because the delivery address could not be verified. Confirm it to continue.,1,English
Your bank account will be restricted today unless you confirm the pending KYC details.,1,English
Your card payment could not be verified. Re-enter your account details to keep the card active.,1,English
Your insurance claim cannot be processed until the beneficiary details are confirmed —,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request. For your records. Please use the official app.,1,English
SMS: Your card will be temporarily disabled unless the security check is completed. Please use the official app.,1,English
Update: We noticed unusual activity on your account. Confirm your identity to avoid suspension. You can also view the latest status in the app.,1,English
You have been shortlisted for a work-from-home role. Pay the refundable registration amount to complete joining. Service details are available in your account.,1,English
Your account recovery request was received from an unknown device. Confirm your identity immediately.,1,English
Your bank profile has been flagged for a security review. Confirm the requested information. | Account update https://service.example/check,1,English
Your KYC has expired. Update your information immediately to prevent banking access from being blocked. For your records. Please use the official app.,1,English
Your bank account will be restricted today unless you confirm the pending KYC details. Thank you.,1,English
Your subscription payment failed. Verify your card information to avoid cancellation. You can also view the latest status in the app.,1,English
Update: We noticed unusual activity on your account. Confirm your identity to avoid suspension. https://service.example/check,1,English
Your bank profile has been flagged for a security review. Confirm the requested information. | Service update,1,English
Your loan application is approved in principle. Submit the requested details to release the amount. You can also view the latest status in the app.,1,English
You have been shortlisted for a work-from-home role. Pay the refundable registration amount to complete joining. For your records. https://service.example/check,1,English
Your subscription payment failed. Verify your card information to avoid cancellation. | Service update Keep the confirmation for your records.,1,English
SMS: Your KYC has expired. Update your information immediately to prevent banking access from being blocked. https://service.example/check,1,English
Your electricity connection is scheduled for suspension because the latest bill could not be verified. Please use the official app.,1,English
Your insurance claim cannot be processed until the beneficiary details are confirmed.,1,English
Your card payment could not be verified. Re-enter your account details to keep the card active. Thank you. You can also view the latest status in the app.,1,English
Your loan application is approved in principle. Submit the requested details to release the amount. The same update is available in your account. This update is also visible in your account.,1,English
Update: Your account recovery request was received from an unknown device. Confirm your identity immediately. Please use the official app.,1,English
SMS: Your account recovery request was received from an unknown device. Confirm your identity immediately.,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request. The same update is available in your account. Keep this message for reference.,1,English
SMS: Your insurance claim cannot be processed until the beneficiary details are confirmed.,1,English
SMS: Your KYC has expired. Update your information immediately to prevent banking access from being blocked. Please use the official app.,1,English
Your job application needs a final verification before the interview slot can be confirmed. | Account update,1,English
Your account recovery request was received from an unknown device. Confirm your identity immediately. For your records.,1,English
Your card will be temporarily disabled unless the security check is completed. https://service.example/check,1,English
Your loan application is approved in principle. Submit the requested details to release the amount. The same update is available in your account. You may review the status in the app.,1,English
Your UPI service has been placed on hold. Complete the verification before the review closes. Thank you.,1,English
Update: Your insurance claim cannot be processed until the beneficiary details are confirmed.,1,English
Your card will be temporarily disabled unless the security check is completed. Please check the app for details.,1,English
SMS: इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है।,0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है।,0,Hindi
"₹1,999 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है।",0,Hindi
आपके नए device से login की पुष्टि हो गई है। https://service.example/check,0,Hindi
SMS: आपका दस्तावेज DigiLocker में देखने के लिए उपलब्ध है। https://service.example/check,0,Hindi
SMS: इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। https://service.example/check,0,Hindi
Update: आपका KYC update request प्राप्त हो गया है। समीक्षा के बाद स्थिति देख सकते हैं। https://service.example/check,0,Hindi
आपकी ₹850 की EMI सफलतापूर्वक जमा हो गई है। Service details are available in your account.,0,Hindi
"₹7,500 का मोबाइल रिचार्ज सफल रहा। आपका प्लान 16 August तक सक्रिय है। Please use the official app.",0,Hindi
बैंक शाखा में आपका appointment 21 August को 5:45 PM बजे है।,0,Hindi
"आपका broadband bill ₹3,499 सफलतापूर्वक जमा हो गया है।",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। Please check the app for details.,0,Hindi
Update: बीमा प्रीमियम ₹850 सफलतापूर्वक प्राप्त हुआ। पॉलिसी की जानकारी ऐप में उपलब्ध है। Please use the official app.,0,Hindi
Update: आपका return pickup 16 August के लिए तय किया गया है।,0,Hindi
SMS: आपका पार्सल Swiggy से भेज दिया गया है और 25 August तक पहुंचने की उम्मीद है। Please use the official app.,0,Hindi
"₹1,240 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है। Please check the app for details.",0,Hindi
SMS: ₹249 का UPI भुगतान सफल रहा। लेनदेन संख्या TXN8472 है। https://service.example/check,0,Hindi
"आपका broadband bill ₹1,999 सफलतापूर्वक जमा हो गया है। | Service update Please use the official app.",0,Hindi
आपकी ₹249 की EMI सफलतापूर्वक जमा हो गई है। https://service.example/check,0,Hindi
आपका इंटरव्यू 16 August को 2:10 PM बजे निर्धारित है। Thank you. https://service.example/check,0,Hindi
आपका दस्तावेज DigiLocker में देखने के लिए उपलब्ध है।,0,Hindi
"SMS: ₹3,499 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है।",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। यही जानकारी आपके आधिकारिक खाते में भी देखी जा सकती है। यह अपडेट आपके खाते में भी उपलब्ध है।,0,Hindi
Update: आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। Please use the official app.,0,Hindi
आपके ऑर्डर का ₹249 रिफंड मूल भुगतान माध्यम में जमा हो गया है। | Account update,0,Hindi
₹499 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है। Thank you.,0,Hindi
"₹1,999 का मोबाइल रिचार्ज सफल रहा। आपका प्लान 25 August तक सक्रिय है। https://service.example/check",0,Hindi
"बीमा प्रीमियम ₹1,999 सफलतापूर्वक प्राप्त हुआ। पॉलिसी की जानकारी ऐप में उपलब्ध है। | Service update",0,Hindi
आपका दस्तावेज DigiLocker में देखने के लिए उपलब्ध है। यही जानकारी आपके आधिकारिक खाते में भी देखी जा सकती है।,0,Hindi
Update: आपका broadband bill ₹850 सफलतापूर्वक जमा हो गया है।,0,Hindi
आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। | Service update https://service.example/check,0,Hindi
आपका पार्सल Amazon से भेज दिया गया है और 21 August तक पहुंचने की उम्मीद है। | Service update,0,Hindi
"₹1,240 का UPI भुगतान सफल रहा। लेनदेन संख्या APP7045 है।",0,Hindi
आपके खाते में ₹850 जमा किए गए हैं। नया बैलेंस बैंक ऐप में देखा जा सकता है। Service details are available in your account. https://service.example/check,0,Hindi
आपका KYC update request प्राप्त हो गया है। समीक्षा के बाद स्थिति देख सकते हैं।,0,Hindi
आपका broadband bill ₹499 सफलतापूर्वक जमा हो गया है।,0,Hindi
"₹7,500 का UPI भुगतान सफल रहा। लेनदेन संख्या REF5291 है। https://service.example/check",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। यही जानकारी आपके आधिकारिक खाते में भी देखी जा सकती है। इस सूचना को रिकॉर्ड के लिए रखें।,0,Hindi
"आपके ऑर्डर का ₹1,999 रिफंड मूल भुगतान माध्यम में जमा हो गया है। Service details are available in your account.",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। कृपया इस पुष्टि को अपने रिकॉर्ड के लिए रखें।,0,Hindi
आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। Service details are available in your account.,0,Hindi
"आपका broadband bill ₹7,500 सफलतापूर्वक जमा हो गया है। Service details are available in your account. https://service.example/check",0,Hindi
Update: आपका पार्सल Zomato से भेज दिया गया है और 16 August तक पहुंचने की उम्मीद है। https://service.example/check,0,Hindi
आपके ऑर्डर का ₹199 रिफंड मूल भुगतान माध्यम में जमा हो गया है। https://service.example/check,0,Hindi
बैंक शाखा में आपका appointment 21 August को 9:15 AM बजे है।,0,Hindi
Update: आपका पार्सल ABC Store से भेज दिया गया है और 16 August तक पहुंचने की उम्मीद है।,0,Hindi
आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। https://service.example/check,0,Hindi
आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। | Account update,0,Hindi
SMS: बैंक शाखा में आपका appointment 25 August को 9:15 AM बजे है। https://service.example/check,0,Hindi
"SMS: आपके कार्ड से Flipkart पर ₹1,999 का भुगतान सफल रहा।",0,Hindi
"बीमा प्रीमियम ₹7,500 सफलतापूर्वक प्राप्त हुआ। पॉलिसी की जानकारी ऐप में उपलब्ध है। | Account update",0,Hindi
आपकी subscription renewal सफलतापूर्वक प्रोसेस हो गई है। For your records.,0,Hindi
"₹1,999 का UPI भुगतान सफल रहा। लेनदेन संख्या REF5291 है।",0,Hindi
आपका broadband bill ₹499 सफलतापूर्वक जमा हो गया है। Service details are available in your account.,0,Hindi
आपके ऑर्डर का ₹249 रिफंड मूल भुगतान माध्यम में जमा हो गया है। Please check the app for details. https://service.example/check,0,Hindi
आपका return pickup 25 August के लिए तय किया गया है। Please check the app for details. https://service.example/check,0,Hindi
आपका broadband bill ₹850 सफलतापूर्वक जमा हो गया है।,0,Hindi
"आपकी ₹1,240 की EMI सफलतापूर्वक जमा हो गई है। Please check the app for details.",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। Service details are available in your account.,0,Hindi
"Update: ₹3,499 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है। https://service.example/check",0,Hindi
आपका KYC update request प्राप्त हो गया है। समीक्षा के बाद स्थिति देख सकते हैं। कृपया इस पुष्टि को अपने रिकॉर्ड के लिए रखें।,0,Hindi
"₹1,999 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है। Please check the app for details. Please use the official app.",0,Hindi
SMS: आपका पार्सल Flipkart से भेज दिया गया है और 21 August तक पहुंचने की उम्मीद है।,0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। Service details are available in your account. कृपया इस पुष्टि को अपने रिकॉर्ड के लिए रखें।,0,Hindi
आपके reward points का balance अपडेट हो गया है। https://service.example/check,0,Hindi
आपका इंटरव्यू 16 August को 9:15 AM बजे निर्धारित है। https://service.example/check,0,Hindi
आपका इंटरव्यू 21 August को 2:10 PM बजे निर्धारित है। Service details are available in your account. https://service.example/check,0,Hindi
"आपकी ₹7,500 की EMI सफलतापूर्वक जमा हो गई है।",0,Hindi
"आपका broadband bill ₹3,499 सफलतापूर्वक जमा हो गया है। Please check the app for details. https://service.example/check",0,Hindi
इस महीने का बैंक स्टेटमेंट आधिकारिक ऐप में उपलब्ध है। For your records.,0,Hindi
"आपकी ₹1,999 की EMI सफलतापूर्वक जमा हो गई है। Service details are available in your account. https://service.example/check",0,Hindi
₹499 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है। Please use the official app.,0,Hindi
आपकी ₹499 की EMI सफलतापूर्वक जमा हो गई है। Service details are available in your account.,0,Hindi
बीमा प्रीमियम ₹850 सफलतापूर्वक प्राप्त हुआ। पॉलिसी की जानकारी ऐप में उपलब्ध है।,0,Hindi
₹850 का बिजली बिल भुगतान सफल रहा। रसीद पोर्टल पर उपलब्ध है।,0,Hindi
आपकी UPI सेवा रोक दी गई है। आगे भुगतान करने के लिए verification पूरा करें।,1,Hindi
आपका reward तैयार है। cashback प्राप्त करने के लिए verification पूरा करें।,1,Hindi
Update: आपकी subscription payment असफल हुई है। सेवा बंद होने से पहले card details verify करें।,1,Hindi
बिजली बिल की पुष्टि न होने के कारण आपका connection बंद किया जा सकता है। https://service.example/check,1,Hindi
Update: आपका बैंक खाता आज बंद किया जा सकता है क्योंकि KYC अभी लंबित है। तुरंत विवरण verify करें।,1,Hindi
SMS: इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है। https://service.example/check,1,Hindi
सरकारी लाभ के लिए आपका verification लंबित है। आवेदन बंद होने से पहले विवरण confirm करें। Please check the app for details.,1,Hindi
Update: सुरक्षा जांच पूरी नहीं होने पर आपका card अस्थायी रूप से बंद हो सकता है। https://service.example/check,1,Hindi
अज्ञात device से account recovery request मिली है। तुरंत अपनी पहचान confirm करें। | Today,1,Hindi
इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है।,1,Hindi
सुरक्षा जांच पूरी नहीं होने पर आपका card अस्थायी रूप से बंद हो सकता है।,1,Hindi
आपके mobile number की KYC फिर से करनी है। सेवा चालू रखने के लिए आज verification करें।,1,Hindi
सरकारी लाभ के लिए आपका verification लंबित है। आवेदन बंद होने से पहले विवरण confirm करें। For your records.,1,Hindi
सरकारी लाभ के लिए आपका verification लंबित है। आवेदन बंद होने से पहले विवरण confirm करें।,1,Hindi
बिजली बिल की पुष्टि न होने के कारण आपका connection बंद किया जा सकता है। https://service.example/check यह अपडेट आपके सेवा रिकॉर्ड में भी उपलब्ध है।,1,Hindi
आपका बैंक खाता आज बंद किया जा सकता है क्योंकि KYC अभी लंबित है। तुरंत विवरण verify करें। | Today,1,Hindi
आपका reward तैयार है। cashback प्राप्त करने के लिए verification पूरा करें। यही जानकारी आपके आधिकारिक खाते में भी देखी जा सकती है।,1,Hindi
आपका bank profile security review में है। मांगी गई जानकारी की पुष्टि करें। Service details are available in your account.,1,Hindi
आपकी UPI सेवा रोक दी गई है। आगे भुगतान करने के लिए verification पूरा करें। Thank you. Please use the official app.,1,Hindi
आपका insurance claim beneficiary details की पुष्टि के बिना आगे नहीं बढ़ सकता। For your records. Please use the official app.,1,Hindi
अज्ञात device से account recovery request मिली है। तुरंत अपनी पहचान confirm करें।,1,Hindi
इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है। Please check the app for details.,1,Hindi
अज्ञात device से account recovery request मिली है। तुरंत अपनी पहचान confirm करें। | Service update,1,Hindi
आपके कार्ड भुगतान की पुष्टि नहीं हो सकी। कार्ड चालू रखने के लिए account details दोबारा दें। Please check the app for details.,1,Hindi
सरकारी लाभ के लिए आपका verification लंबित है। आवेदन बंद होने से पहले विवरण confirm करें। Thank you.,1,Hindi
इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है। Thank you.,1,Hindi
इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है। यह अपडेट आपके सेवा रिकॉर्ड में भी उपलब्ध है।,1,Hindi
आपका parcel delivery address verify न होने के कारण रोक दिया गया है। पता confirm करें।,1,Hindi
आपका KYC expire हो गया है। बैंकिंग सुविधा बंद होने से पहले जानकारी अपडेट करें। Service details are available in your account.,1,Hindi
आपके mobile number की KYC फिर से करनी है। सेवा चालू रखने के लिए आज verification करें। यह अपडेट आपके सेवा रिकॉर्ड में भी उपलब्ध है।,1,Hindi
आपका loan आवेदन स्वीकृत बताया गया है। राशि जारी करने के लिए मांगी गई जानकारी भेजें। Service details are available in your account.,1,Hindi
SMS: आपके कार्ड भुगतान की पुष्टि नहीं हो सकी। कार्ड चालू रखने के लिए account details दोबारा दें।,1,Hindi
आपका KYC expire हो गया है। बैंकिंग सुविधा बंद होने से पहले जानकारी अपडेट करें। Service details are available in your account. यह अपडेट आपके सेवा रिकॉर्ड में भी उपलब्ध है।,1,Hindi
आपका reward तैयार है। cashback प्राप्त करने के लिए verification पूरा करें। https://service.example/check,1,Hindi
इंटरव्यू slot confirm करने से पहले आपके job application का final verification जरूरी है। यही जानकारी आपके आधिकारिक खाते में भी देखी जा सकती है।,1,Hindi
