"Sample_ID","Category","SMS_Text","Language","Label"
"SD0024","SIM/KYC Scams","Alert: Vi (Vodafone Idea) SIM will be blocked due to failed KYC. Re-verify at: https://vi-kyc.example/confirm Support: +91-9877001122","English","Phishing"
"SD0025","SIM/KYC Scams","NOTICE: Your mobile SIM KYC expired. Submit Aadhaar within 2 hours. Visit: http://sim-kyc-verify.example/submit Sender: VM-TELCOM","English","Phishing"
"SD0026","SIM/KYC Scams","Pyare User, Aapka SIM block hone wala hai. KYC verify karne ke liye niche click karein: http://simkyc-demo.example/update","Hinglish","Phishing"
"SD0027","SIM/KYC Scams","TRAI notice: Re-submit your KYC documents to retain SIM services. Link: https://trai-kyc-verify.example/docs Helpline: +91-9800555566","English","Phishing"
"SD0028","SIM/KYC Scams","Your Aadhaar-SIM linking is incomplete. Update now to continue services: https://aadhar-sim-link.example/verify Sender: AD-SIMKYC","English","Phishing"
"SD0029","SIM/KYC Scams","SIM band hone se rokne ke liye abhi OTP daalein aur verify karein: https://simverify-portal.example/otp Sender: VM-JIOKYC","Hinglish","Phishing"
"SD0030","SIM/KYC Scams","FINAL WARNING: Airtel SIM will be permanently deactivated within 12 hours unless KYC is updated. Act now: http://airtel-sim-kyc.example/update","English","Phishing"
"SD0031","Credit Card/Loan Scams","Congratulations! You are pre-approved for a personal loan of Rs.5 Lakh. No CIBIL check. Apply: https://quickloan-india.example/apply Helpline: +91-9899001122","English","Phishing"
"SD0032","Credit Card/Loan Scams","Dear Customer, Your HDFC credit card limit has been upgraded. Activate now: https://hdfc-card-demo.example/activate Sender: VM-HDFCBANK","English","Phishing"
"SD0033","Credit Card/Loan Scams","Aapko 0% byaj par Rs.2 lakh ka loan mil sakta hai. Abhi apply karein: http://loan-offer-demo.example/apply Helpline: +91-9822334455","Hinglish","Phishing"
"SD0034","Credit Card/Loan Scams","ALERT: Your SBI credit card EMI payment failed. Update payment method to avoid late fee: https://sbi-card-demo.example/update Sender: AD-SBICRD","English","Phishing"
"SD0035","Credit Card/Loan Scams","Instant loan approved! Disburse Rs.1 Lakh in 2 hours. Submit your details: https://instant-loan-portal.example/disburse Support: +91-9988112233","English","Phishing"
"SD0036","Credit Card/Loan Scams","Dear Valued Customer, Your Axis Bank credit card has been suspended due to unusual activity. Reactivate: http://axiscard-demo.example/reactivate","English","Phishing"
"SD0037","Credit Card/Loan Scams","Free credit card with Rs.50000 limit! Apply today: https://freecardoffer.example/apply Helpline: +91-9811223344 Sender: VM-CARDOFFER","English","Phishing"
"SD0038","Credit Card/Loan Scams","Aapka ICICI credit card block ho gaya. Turant unblock karein: https://icici-card-demo.example/unblock Sender: AD-ICICIBK","Hinglish","Phishing"
"SD0039","Credit Card/Loan Scams","URGENT: Your credit card reward points worth Rs.3500 will expire tonight. Redeem now: https://reward-redeem.example/redeem Sender: VM-CARDREWARD","English","Phishing"
"SD0040","Credit Card/Loan Scams","Loan offer for you: Rs.10 Lakh in 24 hours, no documents needed. Click: http://nodoc-loan.example/apply Support: +91-9900223344","English","Phishing"
"SD0041","Credit Card/Loan Scams","Dear User, Rs.2000 cashback pending on your credit card. Claim before it expires: https://cashback-claim.example/claim Sender: AD-BANKCRD","English","Phishing"
"SD0042","Credit Card/Loan Scams","Aapka loan approved ho gaya. Rs.50000 abhi account mein transfer honge. Details verify karein: http://loanapprove-demo.example/verify","Hinglish","Phishing"
"SD0043","Credit Card/Loan Scams","LAST OFFER: Pre-approved home loan at 6.5% interest. Apply before midnight: https://homeloan-fast.example/apply Helpline: +91-9800334455","English","Phishing"
"SD0044","Credit Card/Loan Scams","Your Kotak credit card is temporarily blocked. Unblock immediately: https://kotakcard.example/unblock Sender: VM-KOTAKCARD","English","Phishing"
"SD0045","Credit Card/Loan Scams","Credit score boost guaranteed! Apply for our new card and get Rs.5000 bonus: https://creditscore-offer.example/apply Support: +91-9988223300","English","Phishing"
"SD0046","Credit Card/Loan Scams","Aapko personal loan ke liye qualify kiya gaya hai. Rs.3 Lakh kal tak milenge. Abhi link par click karein: https://personalloan-demo.example/claim","Hinglish","Phishing"
"SD0047","Credit Card/Loan Scams","Alert: Outstanding balance on your HDFC card. Pay now to avoid penalty: https://hdfc-payment.example/pay Sender: AD-HDFCCRD","English","Phishing"
"SD0048","Credit Card/Loan Scams","OFFER: Zero processing fee loan for govt employees. Apply before 31st: https://govtloan-offer.example/apply Helpline: +91-9811009988","English","Phishing"
"SD0049","Credit Card/Loan Scams","Your credit limit has been reduced. To restore it update your KYC: https://creditkyc.example/update Sender: VM-CREDITUPD","English","Phishing"
"SD0050","Credit Card/Loan Scams","Loan mela! Rs.1 Lakh se Rs.50 Lakh tak ka loan sirf 5 minute mein. Apply karein: http://loanmela-demo.example/apply Helpline: +91-9877223311","Hinglish","Phishing"
